title,author,isbn13,isbn10,rank,rating,description,amazon_product_url,publisher,categories,country_of_publication,year
"EXCEL SAGA, VOL. 23",Rikdo Koshi,9781421536415,1421536412,4.0,,"Here is a different take on feuding neighbors: one is out to destroy the world, the other to save it. But is either aware of what is actually happening?",https://www.amazon.com/Excel-Saga-Vol-Rikdo-Koshi/dp/1421536412?tag=NYTBS-20,,,English-speaking area,2012-04-10
EXCEPTIONAL,Dick Cheney;Liz Cheney,9781501115417,1501115413,4.0,,The former vice president and his daughter chart their vision for a formidable future America.,https://www.amazon.com/Exceptional-World-Needs-Powerful-America-ebook/dp/B00VMFTSDC?tag=NYTBS-20,,"Political Freedom & Security, Government, Philosophy, Executive Branch, POLITICAL SCIENCE, Diplomatic relations, Terrorism, Foreign relations, Exceptionalism",English-speaking area,2015-09
EXECUTION DOCK,Anne Perry,,,10.0,,William Monk of the Thames River Police battles the owner of a floating brothel.,http://www.amazon.com/Execution-Dock-William-Monk-Novel-ebook/dp/B001NLKT8S?tag=NYTBS-20,Ballantine,,,
EXECUTIVE INTENT,Dale Brown,,,19.0,,"With the United States unleashing a missile-launching satellite that can strike anywhere in seconds, China and Russia respond swiftly and brutally.",http://www.amazon.com/Executive-Intent-Novel-Dale-Brown/dp/0061560855?tag=NYTBS-20,William Morrow,,,
EXECUTIVE PRIVILEGE,Phillip Margolin,,,16.0,,,http://www.amazon.com/Executive-Privilege-Novel-Phillip-Margolin/dp/0061236217?tag=NYTBS-20,HarperCollins Publishers,,,
EXIT WEST,Mohsin Hamid,9780735212176,0735212171,5.0,,Lovers in a city overwhelmed with violence hear about mysterious doors that will carry them into an alien and uncertain future.,https://www.amazon.com/Exit-West-Novel-Mohsin-Hamid/dp/0735212171?tag=NYTBS-20,Riverhead,,English-speaking area,
EXPECTING TO DIE,Lisa Jackson,9781420136074,1420136070,5.0,,"Alvarez and Pescoli are back, dodging a reality-TV crew while tracking a serial killer stalking the woods of a remote Montana town.",https://www.amazon.com/Expecting-Die-Alvarez-Pescoli-Novel/dp/1420136070?tag=NYTBS-20,,,English-speaking area,2017-02-28
EXPLOSIVE EIGHTEEN,Janet Evanovich,9780345527714,0345527712,1.0,,"After a disastrous vacation in Hawaii, the bounty hunter Stephanie Plum becomes the target of an international killer.",https://www.amazon.com/Explosive-Eighteen-Stephanie-Janet-Evanovich/dp/0345527739?tag=NYTBS-20,Bantam,"Stephanie Plum (Fictitious character), Women bounty hunters, Fiction",English-speaking area,2011
EXPOSED,Jane Velez-Mitchell,9780062303998,0062303996,5.0,,"The story of Jodi Arias, who was convicted of murdering her boyfriend, Travis Alexander.",https://www.amazon.com/Exposed-Secret-Life-Jodi-Arias-ebook/dp/B00CREFH9G?tag=NYTBS-20,,Trials (Murder),English-speaking area,2013-08-20
EXPOSED,Jane Velez-Mitchell,9780062303998,0062303996,5.0,,"The story of Jodi Arias, who was convicted of murdering her boyfriend, Travis Alexander.",https://www.amazon.com/Exposed-Secret-Life-Jodi-Arias-ebook/dp/B00CREFH9G?tag=NYTBS-20,,Trials (Murder),English-speaking area,
EXPOSED,Jane Velez-Mitchell,9780062303998,0062303996,5.0,,"The story of Jodi Arias, who was convicted of murdering her boyfriend, Travis Alexander.",https://www.amazon.com/Exposed-Secret-Life-Jodi-Arias-ebook/dp/B00CREFH9G?tag=NYTBS-20,,Trials (Murder),English-speaking area,2017-10-05
EXPOSED,Kyra Davis,9781476713137,,4.0,,"In Book 2 of the Just One Night series, Kasie Fitzgerald is crazy about Robert, the man she slept with in Las Vegas, but Dave, her
fiancé, is furious.",https://www.amazon.com/gp/search?index=books&tag=NYTBS-20&field-keywords=EXPOSED+Kyra+Davis,,"Fiction, romance, contemporary, Fiction, women",English-speaking area,2013-08-20
EXPOSED,Kyra Davis,9781476713137,,4.0,,"In Book 2 of the Just One Night series, Kasie Fitzgerald is crazy about Robert, the man she slept with in Las Vegas, but Dave, her
fiancé, is furious.",https://www.amazon.com/gp/search?index=books&tag=NYTBS-20&field-keywords=EXPOSED+Kyra+Davis,,"Fiction, romance, contemporary, Fiction, women",English-speaking area,
EXPOSED,Kyra Davis,9781476713137,,4.0,,"In Book 2 of the Just One Night series, Kasie Fitzgerald is crazy about Robert, the man she slept with in Las Vegas, but Dave, her
fiancé, is furious.",https://www.amazon.com/gp/search?index=books&tag=NYTBS-20&field-keywords=EXPOSED+Kyra+Davis,,"Fiction, romance, contemporary, Fiction, women",English-speaking area,2017-10-05
EXPOSED,Lisa Scottoline,,,6.0,,"Bennie Rosato and Mary DiNunzio find themselves on opposite sides of a lawsuit, threatening their friendship and their law firm.",https://www.amazon.com/Exposed-Rosato-DiNunzio-Lisa-Scottoline-ebook/dp/B01N5SDC9D?tag=NYTBS-20,St. Martin's,,,2013-08-20
EXPOSED,Lisa Scottoline,,,6.0,,"Bennie Rosato and Mary DiNunzio find themselves on opposite sides of a lawsuit, threatening their friendship and their law firm.",https://www.amazon.com/Exposed-Rosato-DiNunzio-Lisa-Scottoline-ebook/dp/B01N5SDC9D?tag=NYTBS-20,St. Martin's,,,
EXPOSED,Lisa Scottoline,,,6.0,,"Bennie Rosato and Mary DiNunzio find themselves on opposite sides of a lawsuit, threatening their friendship and their law firm.",https://www.amazon.com/Exposed-Rosato-DiNunzio-Lisa-Scottoline-ebook/dp/B01N5SDC9D?tag=NYTBS-20,St. Martin's,,,2017-10-05
EXTORTION,Peter Schweizer,9780544103344,0544103343,3.0,,,https://www.amazon.com/Extortion-Politicians-Extract-Money-Pockets/dp/0544103343?tag=NYTBS-20,,Political corruption,English-speaking area,2013
EXTRA LEAN,Mario Lopez;Jimmy Peña,9780451230164,0451230167,3.0,,Recipes and a seven-week meal plan to lose weight.,https://www.amazon.com/Extra-Lean-Fat-Burning-Plan-Changes/dp/0451230167?tag=NYTBS-20,,,English-speaking area,2010
EXTRA YARN,Mac Barnett,9780061953385,0061953385,4.0,,This isn’t an ordinary box full of yarn.,https://www.amazon.com/Extra-Yarn-Mac-Barnett/dp/0061953385?tag=NYTBS-20,,"Humorous stories, Knitting, Yarn, Fiction",English-speaking area,
EXTREME MEASURES,Vince Flynn,,,1.0,,Mitch Rapp teams up with a C.I.A. colleague to fight a terrorist cell — and the politicians who would rein them in.,http://www.amazon.com/Extreme-Measures-Thriller-Mitch-Novels/dp/1416505040?tag=NYTBS-20,Atria,,,
EXTREME OWNERSHIP,Jocko Willink;Leif Babin,9781427264305,1427264309,4.0,,"Applying the principles of Navy SEALs leadership training to any organization. Read by the authors. 8 hours, 15 minutes unabridged.",https://www.amazon.com/Extreme-Ownership-U-S-Navy-SEALs-ebook/dp/B00VE4Y0Z2?tag=NYTBS-20,,,English-speaking area,
EXTREME PREY,John Sandford,9780399176050,0399176055,1.0,,"Lucas Davenport, who has left the Minnesota Bureau of Criminal Apprehension, is in Iowa trying to foil a plot to assassinate a Hillary Clinton-like candidate. The 26th Lucas Davenport thriller.",https://www.amazon.com/Extreme-Prey-John-Sandford-ebook/dp/B013D664Q6?tag=NYTBS-20,Putnam,,English-speaking area,
EXTREMELY LOUD AND INCREDIBLY CLOSE,Jonathan Safran Foer,9780547416212,0547416210,5.0,,"A 9-year-old boy searches New York City for the lock that fits a key belonging to his father, who died on Sept. 11.",https://www.amazon.com/Extremely-Loud-Incredibly-Close-Novel-ebook/dp/B003K16PXC?tag=NYTBS-20,,"New york (n.y.), fiction, Fiction, general, Fathers and sons, fiction, September 11 terrorist attacks, 2001, fiction",English-speaking area,2013-09-03
"EYE OF THE WORLD, VOL. 1",Robert Jordan;Chuck Dixon;Chase Conley,9780765324887,0765324881,4.0,,"An adaptation of the first novel in the popular ""Wheel of Time"" fantasy series by Robert Jordan.",https://www.amazon.com/The-Eye-World-Graphic-Volume/dp/0765324881?tag=NYTBS-20,,"Rand al'Thor (Fictitious character), Comic books, strips",English-speaking area,2011-09-13
"EYE OF THE WORLD, VOL. 3",Chuck Dixon;Andie Tong,9780765331625,0765331624,4.0,,"The adaptation of the popular ""Wheel of Time"" fantasy series by Robert Jordan continues.",https://www.amazon.com/The-Eye-World-Graphic-Volume/dp/0765331632?tag=NYTBS-20,,,English-speaking area,2012-06-19
EYES ONLY,Fern Michaels,9781420135916,1420135910,2.0,,"When a powerful family tries to reclaim twins who were legally given up at birth, their loving but poor adoptive parents turn to Myra Rutledge and her formidable Sisterhood for help.",https://www.amazon.com/Eyes-Only-SisterHood-Book-24-ebook/dp/B00L3KV2QM?tag=NYTBS-20,,"Fiction, romance, suspense",English-speaking area,
EYES WIDE OPEN,Raine Miller,9781476735610,,3.0,,Demons from the past threaten to destroy the passionate bond of Ethan and Brynne. Book 3 of the Blackstone Affair series.,https://www.amazon.com/Eyes-Wide-Open-Blackstone-Affair-ebook/dp/B00BEHGSEK?tag=NYTBS-20,,"Fiction, romance, erotica",English-speaking area,2020-12-31
"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,,,58.0,4.3,,,,,,
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman,,,48.0,4.5,,,,,,2011-01-05
Eat to Live: The Amazing Nutrient-Rich Program‚Ä¶,Joel Fuhrman,,,70.0,4.5,,,,,,
"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,,,57.0,4.3,,,,,,2007-01-30
Echo Burning (Jack Reacher Book 5),Lee Child,,,63.0,4.5,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",,2008-09-22
Echo Burning (Jack Reacher),Lee Child,,0515143820,46.0,4.5,,,,"Mystery And Suspense Fiction, Fiction, Fiction - Mystery/ Detective, Mystery & Detective - General, Fiction / General, Thrillers",,2007-11-27
"Echo Burning: Jack Reacher, Book 5",Lee Child ;Dick Hill (Narrator);Random House Audio (Publisher),,01602244G,19.0,4.5,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense"",""Suspense""]",,
Eclipse (Twilight Sagas),Stephenie Meyer,9780316027656,0316027650,35.0,4.7,Vampires and werewolves in school.,https://www.amazon.com/Eclipse-Twilight-Stephenie-Meyer/dp/0316160202?tag=NYTBS-20,,"Teens -- Literature & Fiction -- Love & Romance, Teens -- Science Fiction & Fantasy -- Fantasy",English-speaking area,
Eclipse (Twilight),Stephenie Meyer,9780316160209,0316160202,33.0,4.7,Vampires and werewolves in school.,https://www.amazon.com/Eclipse-Twilight-Stephenie-Meyer/dp/0316160202?tag=NYTBS-20,,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",English-speaking area,
"Eclipse: The Twilight Saga, Book 3",Stephenie Meyer ;Ilyana Kadushin (Narrator);Listening Library (Publisher),,,85.0,4.7,,,,"[""Books"",""Children's Books"",""Science Fiction & Fantasy"",""Fantasy & Magic""]",,
Edge of Eternity (The Century Trilogy Book 3),Ken Follett,,,75.0,4.2,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",,
Educated: A Memoir,Tara Westover,,0099511029,1.0,4.7,,,,"[""Books"",""Biographies & Memoirs"",""Community & Culture""]",,
Educated: A Memoir,Tara Westover,,0099511029,1.0,4.7,,,,"[""Books"",""Biographies & Memoirs"",""Community & Culture""]",,
Educated: A Memoir,Tara Westover ;Julia Whelan (Narrator);Random House Audio (Publisher),,,6.0,4.7,,,,"[""Books"",""Biographies & Memoirs"",""Community & Culture"",""Women""]",,
Educated: A Memoir,Tara Westover ;Julia Whelan (Narrator);Random House Audio (Publisher),,,6.0,4.7,,,,"[""Books"",""Biographies & Memoirs"",""Community & Culture"",""Women""]",,
Educated: A Memoir (Random House Large Print),Tara Westover,,9780525589983,59.0,4.7,,,,"Subculture, Home schooling, Family, Anecdotes, Victims of family violence, Women college students, Christian biography, Rural conditions, Survivalism, Biography, Women",,
Elder Scrolls V: Skyrim: Prima Official Game Guide,David Hodgson,,,65.0,4.6,,,,,,2013
Eleanor Oliphant Is Completely Fine: A Novel,Gail Honeyman,9780735220690,0735220697,8.0,4.5,A young woman’s well-ordered life is disrupted by the I.T. guy from her office.,https://www.amazon.com/Eleanor-Oliphant-Completely-Fine-Novel/dp/0735220697?tag=NYTBS-20,,"[""Books"",""Literature & Fiction"",""Women's Fiction""]",English-speaking area,
Eleanor Oliphant Is Completely Fine: A Novel,Gail Honeyman,9780735220690,0735220697,8.0,4.5,A young woman’s well-ordered life is disrupted by the I.T. guy from her office.,https://www.amazon.com/Eleanor-Oliphant-Completely-Fine-Novel/dp/0735220697?tag=NYTBS-20,,"[""Books"",""Literature & Fiction"",""Women's Fiction""]",English-speaking area,
Eleanor Oliphant Is Completely Fine: A Novel,Gail Honeyman ;Cathleen McCarron (Narrator);Penguin Audio (Publisher),,,66.0,4.5,,,,"[""Books"",""Literature & Fiction"",""Women's Fiction"",""Contemporary""]",,
Eleanor Oliphant Is Completely Fine: A Novel,Gail Honeyman ;Cathleen McCarron (Narrator);Penguin Audio (Publisher),,,66.0,4.5,,,,"[""Books"",""Literature & Fiction"",""Women's Fiction"",""Contemporary""]",,
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,,006230125X,2.0,4.7,,,,"Businesspeople, biography, Aerospace industries, Automobiles, electric, Inventors, Technological innovations, economic aspects",,
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,,006230125X,2.0,4.7,,,,"Businesspeople, biography, Aerospace industries, Automobiles, electric, Inventors, Technological innovations, economic aspects",,
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance ;Fred Sanders (Narrator);Harper;Audio (Publisher),,,1.0,4.7,,,,"[""Books"",""Engineering & Transportation"",""Engineering"",""Reference"",""Patents & Inventions""]",,
"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance ;Fred Sanders (Narrator);Harper;Audio (Publisher),,,1.0,4.7,,,,"[""Books"",""Engineering & Transportation"",""Engineering"",""Reference"",""Patents & Inventions""]",,
Elsewhere,Dean Koontz,,1542019850,71.0,4.5,,,,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",,2020-11-26
Elsewhere,Dean Koontz,,1542019850,71.0,4.5,,,,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",,
Elsewhere,Dean Koontz ;Edoardo Ballerini (Narrator);Imani Parks (Narrator);Josh Bloomberg (Narrator);Brian Holden (Narrator);Kevin T. Collins (Narrator);Soneela Nankani (Narrator);Alexander Cendese (Narrator);Amanda Leigh Cobb (Narrator);Brilliance Audio (Publisher),,,17.0,4.5,,,,"[""Books"",""Literature & Fiction"",""Genre Fiction"",""Horror""]",,2020-11-26
Elsewhere,Dean Koontz ;Edoardo Ballerini (Narrator);Imani Parks (Narrator);Josh Bloomberg (Narrator);Brian Holden (Narrator);Kevin T. Collins (Narrator);Soneela Nankani (Narrator);Alexander Cendese (Narrator);Amanda Leigh Cobb (Narrator);Brilliance Audio (Publisher),,,17.0,4.5,,,,"[""Books"",""Literature & Fiction"",""Genre Fiction"",""Horror""]",,
Emotional Intelligence 2.0,Travis Bradberry,,,86.0,4.5,,,,,,
Empire of Storms,Sarah J. Maas ;Elizabeth Evans (Narrator);Audible Studios (Publisher),,,7.0,4.8,,,,"[""Books"",""Teen & Young Adult"",""Literature & Fiction"",""Action & Adventure"",""Fantasy""]",,
"Empire of Storms (Throne of Glass, 5)",Sarah J. Maas,,1619636093,28.0,4.8,,,,"Children's fiction, Fantasy fiction, Kings, queens, rulers, etc., fiction, Love, fiction",,
"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S. C. Gwynne,9781416591061,1416591060,1.0,4.8,"The story of Quanah Parker, the last chief of the Comanches.",https://www.amazon.com/Empire-Summer-Moon-Comanches-Powerful-ebook/dp/B003KN3MDG?tag=NYTBS-20,,"[""Books"",""Biographies & Memoirs"",""Community & Culture""]",English-speaking area,2010
"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S. C. Gwynne,9781416591061,1416591060,1.0,4.8,"The story of Quanah Parker, the last chief of the Comanches.",https://www.amazon.com/Empire-Summer-Moon-Comanches-Powerful-ebook/dp/B003KN3MDG?tag=NYTBS-20,,"[""Books"",""Biographies & Memoirs"",""Community & Culture""]",English-speaking area,
"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S. C. Gwynne ;David Drummond (Narrator);Simon;Schuster Audio (Publisher),,,1.0,4.8,,,,"[""Books"",""Biographies & Memoirs"",""Community & Culture"",""Indigenous"",""Native American""]",,2010
"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S. C. Gwynne ;David Drummond (Narrator);Simon;Schuster Audio (Publisher),,,1.0,4.8,,,,"[""Books"",""Biographies & Memoirs"",""Community & Culture"",""Indigenous"",""Native American""]",,
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,,,7.0,4.7,,,,,,
Ender's Game (The Ender Quintet),Orson Scott Card,,,52.0,4.6,,,,,,
"Ender's Game (The Ender Saga, 1)",Orson Scott Card,,0765378485,22.0,4.6,,,,"Wiggin, ender (fictitious character), fiction, Battle school (imaginary place), fiction, Fiction, science fiction, hard science fiction, Brothers and sisters, fiction",,2011-09-22
Ender's Game: Special 20th Anniversary Edition,Orson Scott Card ;Stefan Rudnicki (Narrator);Harlan Ellison (Narrator);Gabrielle de Cuir (Narrator);Macmillan Audio (Publisher),,,4.0,4.6,,,,"[""Books"",""Science Fiction & Fantasy"",""Science Fiction"",""Adventure""]",,
Enemy at the Gates,Vince Flynn ;Kyle Mills ;George Guidall (Narrator);Simon;Schuster Audio (Publisher),,,3.0,4.6,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense"",""Spies & Politics"",""Political""]",,
Enemy at the Gates (20) (A Mitch Rapp Novel),Kyle Mills,,1982164883,7.0,4.6,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",,
Enemy at the Gates (Mitch Rapp Book 20),Kyle Mills,,,9.0,4.6,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",,
"Entwined with You: Crossfire Series, Book 3",Jill Redfield (Narrator);Sylvia Day ;Brilliance Audio (Publisher),,,35.0,4.3,,,,"[""Books"",""Literature & Fiction"",""Women's Fiction"",""Contemporary""]",,
Every Breath,Nicholas Sparks,9781538728543,1538728540,48.0,4.7,Difficult choices surface when Hope Anderson and Tru Walls meet in a North Carolina seaside town.,https://www.amazon.com/Every-Breath-Nicholas-Sparks/dp/1538728524?tag=NYTBS-20,,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",English-speaking area,2019-10-15
Every Breath,Nicholas Sparks,9781538728543,1538728540,48.0,4.7,Difficult choices surface when Hope Anderson and Tru Walls meet in a North Carolina seaside town.,https://www.amazon.com/Every-Breath-Nicholas-Sparks/dp/1538728524?tag=NYTBS-20,,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",English-speaking area,
Every Breath,Nicholas Sparks ;Sean Cameron Michael (Narrator);Vanessa Johansson (Narrator);Hachette Audio (Publisher),,,2.0,4.7,,,,"[""Books"",""Christian Books & Bibles"",""Literature & Fiction"",""Romance"",""Contemporary""]",,2019-10-15
Every Breath,Nicholas Sparks ;Sean Cameron Michael (Narrator);Vanessa Johansson (Narrator);Hachette Audio (Publisher),,,2.0,4.7,,,,"[""Books"",""Christian Books & Bibles"",""Literature & Fiction"",""Romance"",""Contemporary""]",,
Every Breath: Booktrack Edition,Nicholas Sparks ;Sean Cameron Michael (Narrator);Vanessa Johansson (Narrator);Hachette Audio (Publisher),,,30.0,4.7,,,,"[""Books"",""Literature & Fiction"",""Genre Fiction"",""Family Life""]",,
Every Last Secret,A. R. Torre,,1542020190,43.0,4.3,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",,2020-12
Every Last Secret,A. R. Torre,,1542020190,43.0,4.3,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",,
Every Last Secret,Carly Robins (Narrator);Amy Landon (Narrator);Tristan James (Narrator);A. R. Torre ;Brilliance Audio (Publisher),,,20.0,4.3,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense"",""Psychological Thrillers""]",,2020-12
Every Last Secret,Carly Robins (Narrator);Amy Landon (Narrator);Tristan James (Narrator);A. R. Torre ;Brilliance Audio (Publisher),,,20.0,4.3,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense"",""Psychological Thrillers""]",,
Every Thing On It,Shel Silverstein,,,56.0,4.9,,,,,,2022-04-05
"Everybody, Always: Becoming Love in a World Full of Setbacks and Difficult People",Bob Goff,,,56.0,4.8,,,,,,2018-04-17
Everyday Tarot Mini Tarot Deck (RP Minis),Brigit Esselmont,,0762492791,23.0,4.8,,,,"[""Books"",""Religion & Spirituality"",""New Age & Spirituality""]",,2018-10-09
Everything I Never Told You,Celeste Ng,9780143127550,0143127551,7.0,4.3,A daughter’s death from drowning tears away at a Chinese-American family in 1970s Ohio.,https://www.amazon.com/Everything-Never-Told-You-Novel/dp/159420571X?tag=NYTBS-20,,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",English-speaking area,2015-05-12
Everything You Need to Ace Math in One Big Fat Notebook: The Complete Middle School Study Guide (Big Fat Notebooks),Workman Publishing,,,2.0,4.7,,,,"[""Books"",""Children's Books"",""Education & Reference""]",,2016-08-09
"Everything, Everything",Nicola Yoon,,,82.0,4.7,,,,,,2015-09-01
Explosive Eighteen: A Stephanie Plum Novel (Stephanie Plum Novels),Janet Evanovich,,,79.0,4.5,,,,,,
Extreme Ownership (How U.S. Navy SEALs Lead and Win),Jocko Willink,,,79.0,4.8,,,,,,
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,,9781250183866,1.0,4.8,,,,"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]",,
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,,9781250183866,1.0,4.8,,,,"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]",,
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink;Leif Babin,9781250067050,1250067057,82.0,4.8,Applying the principles of Navy SEALs leadership training to any organization.,https://www.amazon.com/Extreme-Ownership-U-S-Navy-SEALs-ebook/dp/B00VE4Y0Z2?tag=NYTBS-20,,"United States, United States. Navy. SEALs. Task Unit Bruiser, American Personal narratives, Campaigns, Leadership, United States. Navy. SEALs. Officers, Iraq War, 2003-2011, Biography",English-speaking area,
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink;Leif Babin,9781250067050,1250067057,82.0,4.8,Applying the principles of Navy SEALs leadership training to any organization.,https://www.amazon.com/Extreme-Ownership-U-S-Navy-SEALs-ebook/dp/B00VE4Y0Z2?tag=NYTBS-20,,"United States, United States. Navy. SEALs. Task Unit Bruiser, American Personal narratives, Campaigns, Leadership, United States. Navy. SEALs. Officers, Iraq War, 2003-2011, Biography",English-speaking area,
F IN EXAMS,Richard Benson,9780811878319,0811878317,3.0,,Students’ creative responses to exam questions.,https://www.amazon.com/Exams-Very-Totally-Wrong-Answers/dp/0811878317?tag=NYTBS-20,,,English-speaking area,2011-02-23
F*CK FEELINGS,Michael I. Bennett;Sarah Bennett,9781476789996,1476789991,5.0,,A psychiatrist and his comedy writer daughter urge more practical solutions to life's many problems.,https://www.amazon.com/Feelings-Practical-Managing-Impossible-Problems-ebook/dp/B00P42WWY6?tag=NYTBS-20,,"Problem solving, Problem-solving therapy, Interpersonal relations, Self-actualization (Psychology), Self-help techniques",English-speaking area,2015-09
FABLEHAVEN,Brandon Mull,9781606412381,1606412388,4.0,,Evil is afoot in a sanctuary for magical creatures.,https://www.amazon.com/Fablehaven-Grip-Shadow-Plague/dp/1590388984?tag=NYTBS-20,,,English-speaking area,2010
FABLES - THE DELUXE EDITION BOOK SIX,Bill Willingham;Mark Buckingham;others,9781401228798,1401228798,4.0,,"In this hardcover collection of the on-going series, danger lurks in the form of Goldilocks, the Big Bad Wolf and Snow White are on the run, and more.",https://www.amazon.com/Fables-The-Deluxe-Edition-Book/dp/1401228798?tag=NYTBS-20,,"Fairy tales, Legends, Comic books, strips, Adaptations",English-speaking area,
"FABLES, VOL. 13",Bill Willingham;Matthew Sturges,9781401225728,1401225721,1.0,,"The Fables face-off against the Literals, the embodiments of romance, comedy, fantasy and one who can forever erase them from the world.",https://www.amazon.com/Fables-Vol-13-Great-Crossover/dp/1401225721?tag=NYTBS-20,,"Comics & Graphic Novels -- Graphic Novels -- Fantasy, Literature & Fiction -- World Literature -- Mythology, Science Fiction & Fantasy",English-speaking area,2002
"FABLES, VOL. 14",Bill Willingham;Mark Buckingham,9781401228804,1401228801,2.0,,"The threat of Mister Dark continues. Meanwhile, the flying monkey known as Bufkin wages a fight against the evil witch Baba Yaga.",https://www.amazon.com/Fables-Vol-14-Bill-Willingham/dp/1401228801?tag=NYTBS-20,,,English-speaking area,
"FABLES, VOL. 15",Bill Willingham;Mark Buckingham,9781401230005,1401230008,1.0,,"The characters from folklore and fairy tales prepare for battle against the nefarious Mister Dark. Will Rose Red, the sister of Snow White, finally shake her malaise and assist?",https://www.amazon.com/Fables-Vol-15-Rose-Red/dp/1401230008?tag=NYTBS-20,,"Fairy tales, Legends, Comic books, strips, Adaptations",English-speaking area,
"FABLES, VOL. 16",Bill Willingham;others,9781401233068,1401233066,1.0,,"When the characters from fairy tales confront an evil foe, they need a new myth: super-heroes.",https://www.amazon.com/Fables-Vol-16-Super-Team/dp/1401233066?tag=NYTBS-20,,,English-speaking area,2011
"FABLES, VOL. 18",Bill Willingham;Mark Buckingham,9781401237691,140123769X,1.0,,"In this volume, the offspring of the Big Bad Wolf and Snow White get into a lot of trouble.",https://www.amazon.com/Fables-Vol-18-Cubs-Toyland/dp/140123769X?tag=NYTBS-20,,"Fairy tales, Legends, Comic books, strips, Adaptations",English-speaking area,2002
"FABLES, VOL. 19",Bill Willingham;Mark Buckingham;others,9781401242480,1401242480,1.0,,Bigby leaves Fabletown to search for his two abducted cubs and Snow White confronts a secret about her marriage.,https://www.amazon.com/Fables-Vol-19-Graphic-Novels/dp/1401242480?tag=NYTBS-20,,"Fairy tales, Legends, Comic books, strips, Adaptations",English-speaking area,2002
"FABLES, VOL. 20",Bill Willingham;Mark Buckingham,9781401245160,1401245161,2.0,,Rose Red wants to create a new Camelot — round table and all — but who will be her knights?,https://www.amazon.com/Fables-Vol-20-Bill-Willingham/dp/1401245161?tag=NYTBS-20,,"Fairy tales, Legends, Comic books, strips",English-speaking area,2014
"FABLES, VOL. 22",Bill Willingham;Mark Buckingham,9781401252335,1401252338,1.0,,...And they lived happily ever after. Or did they?,https://www.amazon.com/Fables-Vol-22-Bill-Willingham/dp/1401252338?tag=NYTBS-20,,"Fairy tales, Legends, Comic books, strips",English-speaking area,
"FABLES: DELUXE EDITION, BOOK 11",Bill Willingham;Mark Buckingham;others,9781401258269,1401258263,3.0,,The latest deluxe book collects issues 86–100 and contains stories that focus on witches and Rose Red.,https://www.amazon.com/Fables-Deluxe-Edition-Book-Eleven/dp/1401258263?tag=NYTBS-20,,"Comics & graphic novels, fantasy",English-speaking area,2016
