author,birth_date,birth_place,birth_country,death_date,genres,influenced,influenced_by,properly_processed
Claudia Bedrick,,,,,,,FALSE,
Jennifer Egan,,,,Fiction; Novel; Short_story,,,TRUE,
Bill Bryson,08/12/1951,,,,,,TRUE,
Lisa Kleypas,,,,,,,FALSE,
Anonymous,,,,Contemporary_R&B; Hip_hop_music; Synthpop,,,TRUE,
Nora Roberts,,,,,,,TRUE,
Nick Jans,,,,,,,FALSE,
Rosanne Parry,,,,,,,FALSE,
G J Meyer,,,,,,,FALSE,
Brandon Mull,08/11/1974,,,Fantasy; Young_adult_fiction,,,TRUE,
Dick Hill,,,,,,,TRUE,
Sonia Purnell,,,,,,,FALSE,
Juliet Stevenson,30/10/1956,,,,,,TRUE,
Madeleine L'Engle,29/11/1918,,06/09/2007,Christian_fiction; Essay; Poetry; Science_fiction,,,TRUE,
Hope Davis,,,,,,,FALSE,
Ava DuVernay,24/08/1972,,,,,,TRUE,
Charlotte Jones Voiklis,,,,,,,FALSE,
Jessica Fellowes,,,,,,,FALSE,
Urban Meyer,,,,,,,TRUE,
Wayne Coffey,,,,,,,TRUE,
Seth Grahame-Smith,04/01/1976,,,Horror_fiction; Mashup_(book),,,TRUE,
Grant Morrison,,,,,,,TRUE,
Frank Quitely,,,,,,,FALSE,
others,,,,,,,TRUE,
Neil Gaiman,,,,,,,TRUE,
Alan Moore,01/08/1914,,24/09/2015,,,,TRUE,
Gene Ha,,,,,,,FALSE,
Peter H Diamandis,,,,,,,FALSE,
Steven Kotler,25/05/1967,,,Nonfiction,,,TRUE,
Michael Savage,,,,,,,TRUE,
Troy Denning,,,,Fantasy; Role-playing_game,,,TRUE,
Neil deGrasse Tyson,05/10/1958,,,,,,TRUE,
Avis Lang,,,,,,,FALSE,
Nadia Bolz-Weber,22/04/1969,,,,,,TRUE,
Lisa Scottoline,01/07/1955,,,Fiction; Legal_thrillers,,,TRUE,
Sherrilyn Kenyon,,,,,,,FALSE,
Flea,,,,,,,TRUE,
Steve Harvey,17/01/1957,,,,,,TRUE,
Denene Millner,21/10/1968,,,,,,TRUE,
Brad Thor,21/08/1969,,,Non-fiction_novel; Spy_novel; Thriller_(genre),,,TRUE,
Rags Morales,,,,,,,FALSE,
Shari Arison,09/09/1957,,,,,,TRUE,
Andrea Beaty,,,,,,,FALSE,
Ann Coulter,08/12/1961,,,,,,TRUE,
Chuck Palahniuk,21/02/1962,,,Horror_fiction,,,TRUE,
Mark C Thompson,,,,,,,FALSE,
Bonita S Thompson,,,,,,,FALSE,
Rabia Chaudry,,,,,,,TRUE,
the staff of Coloring Books for Adults,,,,,,,FALSE,
Paulo Coelho,24/08/1947,,,Drama; Romance_novel,,,TRUE,
Gabbie Hanna,07/02/1991,,,,,,TRUE,
Ryan North,20/10/1980,,,Humour,,,TRUE,
Shelli Paroline,,,,,,,FALSE,
Natasha Allegri,18/06/1986,,,Adventure; Comedy_drama; Science-fantasy; Science_fiction,,,TRUE,
various,,,,,,,TRUE,
Lisa Jackson,,,,Mystery_fiction; Romance_novel; Thriller_(genre),,,TRUE,
Mark Steyn,08/12/1959,,,,,,TRUE,
Laura Lippman,31/01/1959,,,,,,TRUE,
Dan Santat,,,,,,,TRUE,
Linda Castillo,,,,,,,FALSE,
Maya Banks,,US,,Romance_novel,,,TRUE,
Michael Hainey,,,,,,,FALSE,
Jojo Moyes,,,,,,,FALSE,
Sylvia Day,11/03/1973,,,Fantasy_literature; Historical_fiction; Paranormal_romance; Romance_novel; Speculative_fiction; Thriller_(genre); Urban_fantasy,,,TRUE,
Roberto Aguirre-Sacasa,,,,,,,TRUE,
Francesco Francavilla,,,,,,,FALSE,
Chuck Wendig,22/04/1976,,,Urban_fantasy,,,TRUE,
Kumiko Suekane,,,,,,,FALSE,
David Wiedemer,,,,,,,FALSE,
Robert A Wiedemer,,,,,,,FALSE,
Cindy Spitzer,,,,,,,FALSE,
Christine Riccio,,,,,,,FALSE,
Tom Clancy,1872-12-02,,28/09/1938,,,,TRUE,
Peter Telep,08/04/1965,,,Science_fiction,,,TRUE,
Scott Brown,,,,,,,TRUE,
Stephen R Donaldson,,,,,,,FALSE,
Brian Michael Bendis,,,,,,,TRUE,
Glenn Beck,10/02/1964,,,,,,TRUE,
Harriet Parke,,,,,,,FALSE,
Mark Greaney,23/06/1980,,,Alternative_rock,,,TRUE,
David Jeremiah,,,,,,,TRUE,
Laura Childs,,,,,,,FALSE,
Mayu Shinjo,26/01/1973,,,,,,TRUE,
Billy Collins,22/03/1941,,,,,,TRUE,
Christine Feehan,,,,Action_fiction; Fantasy; Military_thriller; Paranormal; Paranormal_romance; Romance_novel; Suspense,,,TRUE,
Oh Great,,,,,,,FALSE,
Oh!Great,,,,,,,FALSE,
Takahiro,,,,,,,TRUE,
Kei Toru,,,,,,,FALSE,
Tetsuya Tashiro,,,,,,,FALSE,
Katsuhiro Otomo,,,,,,,TRUE,
Al Franken,21/05/1951,,,,,,TRUE,
Jacen Burrows,,,,,,,TRUE,
Andrew Hodges,,,,,,,TRUE,
Michael Ledwidge,,,,,,,FALSE,
Melissa de la Cruz,,,,,,,FALSE,
Richard DiLallo,,,,,,,FALSE,
Ron Chernow,03/03/1949,,,,,,TRUE,
Jonathan Eig,26/04/1964,,,,,,TRUE,
QuinRose,,,,,,,TRUE,
Mamenosuke Fujimaru,,,,,,,FALSE,
Quinrose,,,,,,,FALSE,
Soumei Hoshino,,,,,,,FALSE,
Hoshino Soumei,,,,,,,FALSE,
Delico Psyche,,,,,,,FALSE,
Riko Sakura,,,,,,,FALSE,
Lewis Carroll,1832-01-27,,1898-01-14,Children's_literature; Fantasy_literature; Linear_algebra; Literary_nonsense; Mathematical_logic; Voting_theory,,,TRUE,
Henry Winkler,30/10/1945,,,,,,TRUE,
Lin Oliver,02/02/1947,,,,,,TRUE,
Gregory Funaro,,,,,,,FALSE,
Scott Sigler,,,,Horror_fiction; Science_fiction,,,TRUE,
Alexandra Penfold,,,,,,,FALSE,
Suzanne Kaufman,,,,,,,FALSE,
Mary Higgins Clark,24/12/1927,,31/01/2020,Mystery_fiction; Psychological_thriller; Suspense,,,TRUE,
Alafair Burke,,,,Crime_Fiction; Mystery_fiction; Thriller_(genre),,,TRUE,
Jennifer Weiner,28/03/1970,,,Women's_fiction,,,TRUE,
Adrian Gostick,08/09/1965,,,,,,TRUE,
Chester Hilton,,,,,,,FALSE,
Raine Miller,,,,,,,FALSE,
Diana Kander,,,,,,,FALSE,
Dorothea Benton Frank,12/09/1951,,,,,,TRUE,
James Salter,10/06/1925,,19/06/2015,,,,TRUE,
Ashley Judd,19/04/1968,,,,,,TRUE,
Maryanne Vollers,,,,,,,FALSE,
Jennifer Niven,,,,,,,TRUE,
Maggie Stiefvater,18/11/1981,,,Fantasy; Young_adult_fiction,,,TRUE,
Donald Stratton,,,,,,,TRUE,
Ken Gire,,,,,,,FALSE,
Anthony Doerr,27/10/1973,,,,,,TRUE,
Olen Steinhauer,21/06/1970,,,Spy_fiction,,,TRUE,
Rebecca Traister,,,,,,,TRUE,
Adriana Trigiani,,,,,,,TRUE,
Joe Namath,,,,,,,TRUE,
Sean Mortimer,,,,,,,FALSE,
Don Yaeger,,,,,,,FALSE,
Liz Garton Scanlon,,,,,,,FALSE,
Emily Giffin,20/03/1972,,,,,,TRUE,
Mike Greenberg,,,,,,,FALSE,
Hiroshi Sakurazaka,,,,Fantasy; Science_fiction,,,TRUE,
Ryosuke Takeuchi,,,,,,,FALSE,
Takeshi Obata,,,,,,,TRUE,
Alex Abramovich,,,,,,,FALSE,
Mike Harvkey,,,,,,,FALSE,
Stuart Immonen,,,,,,,FALSE,
Mark Frost,23/10/1971,,,,,,TRUE,
Alan Gratz,27/01/1972,,,Historical_Fiction; Young_Adult_Fiction,,,TRUE,
Christie Golden,21/11/1963,,,,,,TRUE,
Lisa Gardner,,,,,,,TRUE,
Michael Korda,08/10/1933,,,,,,TRUE,
Sarah Dessen,06/06/1970,,,Realistic_fiction,,,TRUE,
Jasinda Wilder,,,,,,,FALSE,
Helen Cooper,06/02/1947,,,,,,TRUE,
John Byrne,11/07/1932,,07/03/2013,,,,TRUE,
James Rollins,20/08/1961,,,Adventure_novel; Fantasy_(genre); Mystery_(fiction); Techno-thriller; Thriller_(genre),,,TRUE,
Anna Quindlen,08/07/1952,,,,,,TRUE,
Mary Beth Baptiste,,,,,,,FALSE,
Alton Brown,30/07/1962,,,,,,TRUE,
David Ludwig,,,,,,,FALSE,
Mari Andrew,28/09/1986,,,,,,TRUE,
Aisha Saeed,,,,,,,FALSE,
Edward Klein,,,,,,,FALSE,
Stan Lee,26/09/1961,US,,,,,TRUE,
Peter David,,,,,,,TRUE,
Colleen Doran,,,,,,,FALSE,
James O Born,,,,,,,FALSE,
Herman Parish,,,,,,,TRUE,
Dinesh D'Souza,25/04/1961,,,,,,TRUE,
Stephen Colbert,13/05/1964,,,Black_comedy; Character_comedy; Improvisational_theatre; News_satire; Political_satire; Sketch_comedy; Surreal_humor,,,TRUE,
Graham Hancock,02/08/1950,,,,,,TRUE,
Sarah Palin,,,,,,,TRUE,
Ben C Carson,,,,,,,FALSE,
Steven Brill,22/08/1950,,,,,,TRUE,
Jim Wallis,04/06/1948,,,,,,TRUE,
Vince Flynn,06/04/1966,,19/06/2013,,,,TRUE,
Gene Luen Yang,09/08/1973,,,Graphic_novels,,,TRUE,
Tim Alberta,,,,,,,FALSE,
Nancy Jo Sales,15/10/1964,,,Journalism,,,TRUE,
Michelle Obama,,,,,,,FALSE,
Chris Kyle,,,,,,,TRUE,
William Doyle,29/01/1991,,,Ambient_music; Electronic_music; Experimental_music; Intelligent_dance_music; Synthpop,,,TRUE,
Jeffrey Toobin,21/05/1960,,,,,,TRUE,
Helen Ellis,,,,,,,FALSE,
Howard Blum,,,,,,,FALSE,
Joe Drape,,,,,,,FALSE,
Katharine McGee,,,,,,,FALSE,
