title,author,rank,description,publisher,amazon_product_url
THE SPIES OF WARSAW,Alan Furst,16,Intrigue in Poland just before World War II.,Random House,http://www.amazon.com/The-Spies-Warsaw-A-Novel/dp/0812977378?tag=NYTBS-20
THE GARDEN OF LAST DAYS,Andre Dubus,17,,"Norton & Company, Incorporated, W. W.",http://www.amazon.com/The-Garden-Last-Days-Novel/dp/0393041654?tag=NYTBS-20
THE ENCHANTRESS OF FLORENCE,Salman Rushdie,18,,Random House Publishing Group,http://www.amazon.com/The-Enchantress-Florence-A-Novel/dp/0679640517?tag=NYTBS-20
RESOLUTION,Robert B Parker,19,,Penguin Group (USA) Incorporated,http://www.amazon.com/Resolution-Robert-B-Parker/dp/0425227995?tag=NYTBS-20
CARELESS IN RED,Elizabeth George,20,"In Cornwall, trying to recover from his wife's death, Detective Thomas Lynley becomes involved in a murder investigation.",Harper,http://www.amazon.com/Where-Are-You-Now-Novel/dp/1416566384?tag=NYTBS-20
SAIL,James Patterson and Howard Roughan,1,A sailing vacation turns into a disaster when someone attempts to destroy a family.,"Little, Brown",http://www.amazon.com/Sail-James-Patterson/dp/0446536105?tag=NYTBS-20
NOTHING TO LOSE,Lee Child,2,Jack Reacher exposes the secrets of a Colorado town.,Delacorte,http://www.amazon.com/Nothing-Lose-Jack-Reacher-No/dp/0440245583?tag=NYTBS-20
THE HOST,Stephenie Meyer,3,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20
PLAGUE SHIP,Clive Cussler with Jack Du Brul,4,Juan Cabrillo and the crew of the Oregon must determine what happened on a cruise ship full of dead bodies.,Putnam,http://www.amazon.com/Plague-Ship-The-Oregon-Files/dp/0425226697?tag=NYTBS-20
LOVE THE ONE YOU'RE WITH,Emily Giffin,5,A woman’s happy marriage is shaken when she encounters an old boyfriend.,St. Martin’s,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20
CHASING HARRY WINSTON,Lauren Weisberger,6,"Three glamorous friends, New York women nearing 30, vow to change their lives.",Simon & Schuster,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20
THE BROKEN WINDOW,Jeffery Deaver,7,Detectives Lincoln Rhyme and Amelia Sachs come up against a criminal who uses identity theft to frame innocent people for murdering his victims.,Simon & Schuster,http://www.amazon.com/The-Broken-Window-Lincoln-Rhyme/dp/1416549986?tag=NYTBS-20
ODD HOURS,Dean R Koontz,8,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",Bantam,http://www.amazon.com/Odd-Hours-Dean-Koontz/dp/0553807056?tag=NYTBS-20
MARRIED LOVERS,Jackie Collins,9,An affair between a beautiful personal trainer and a producer married to Hollywood royalty leads to ­murder.,St. Martin’s,http://www.amazon.com/Married-Lovers-Jackie-Collins/dp/0312341814?tag=NYTBS-20
SUNDAYS AT TIFFANY’S,James Patterson and Gabrielle Charbonnet,10,A woman finds an unexpected love.,"Little, Brown",http://www.amazon.com/Sundays-at-Tiffanys-James-Patterson/dp/0446199443?tag=NYTBS-20
DEATH AND HONOR,W E B Griffin and William E Butterworth IV,11,A Marine pilot spies in Argentina in 1943; the fourth book in the Honor Bound series.,Putnam,http://www.amazon.com/Death-Honor-Bound-Book/dp/0515146382?tag=NYTBS-20
BLOOD NOIR,Laurell K Hamilton,12,The vampire hunter Anita Blake is involved in a scandal that threatens the master vampire Jean-Claude’s power.,Berkley,http://www.amazon.com/Blood-Anita-Blake-Vampire-Hunter/dp/0515146374?tag=NYTBS-20
THE ART OF RACING IN THE RAIN,Garth Stein,13,"A Lab-terrier mix with great insight into the human condition helps his owner, a struggling race car driver.",Harper,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20
THE STORY OF EDGAR SAWTELLE,David Wroblewski,14,A young mute who can communicate with dogs his family raises takes refuge with three of them in the Wisconsin woods after his uncle murders his father.,Ecco,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20
DEVIL MAY CARE,Sebastian Faulks,15,James Bond tracks a dangerous executive amid cold war tensions with the help of a beautiful girl.,Doubleday,http://www.amazon.com/Devil-Care-James-Bond-Novel/dp/0385524285?tag=NYTBS-20
THE APPEAL,John Grisham,16,Political and legal intrigue ensue when a Mississippi court rules against a company accused of dumping toxic waste.,Doubleday Publishing,http://www.amazon.com/The-Appeal-John-Grisham/dp/0440243815?tag=NYTBS-20
THE SPIES OF WARSAW,Alan Furst,17,Intrigue in Poland just before World War II.,Random House,http://www.amazon.com/The-Spies-Warsaw-A-Novel/dp/0812977378?tag=NYTBS-20
SNUFF,Chuck Palahniuk,18,An aging porn queens aims to cap her career by having sex on film with 600 men in one day.,Doubleday,http://www.amazon.com/Snuff-Chuck-Palahniuk/dp/0385517882?tag=NYTBS-20
THE BRIEF WONDROUS LIFE OF OSCAR WAO,Junot Díaz,19,A nerdy Dominican-American struggles to escape a family curse.,Riverhead,http://www.amazon.com/The-Brief-Wondrous-Life-Oscar/dp/1594483299?tag=NYTBS-20
SHADOW OF POWER,Steve Martini,20,The lawyer Paul Madriani searches for a missing letter from Thomas Jefferson that might explain a scholar’s murder.,Morrow,http://www.amazon.com/Shadow-Power-Paul-Madriani-Novel/dp/B001OW5OR2?tag=NYTBS-20
FEARLESS FOURTEEN,Janet Evanovich,1,Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.,St. Martin’s,http://www.amazon.com/Fearless-Fourteen-Janet-Evanovich/dp/0312349513?tag=NYTBS-20
SAIL,James Patterson and Howard Roughan,2,A sailing vacation turns into a disaster when someone attempts to destroy a family.,"Little, Brown",http://www.amazon.com/Sail-James-Patterson/dp/0446536105?tag=NYTBS-20
THE HOST,Stephenie Meyer,3,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20
CHASING HARRY WINSTON,Lauren Weisberger,4,"Three glamorous friends, New York women nearing 30, vow to change their lives.",Simon & Schuster,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20
LOVE THE ONE YOU'RE WITH,Emily Giffin,5,A woman’s happy marriage is shaken.,St. Martin’s,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20
NOTHING TO LOSE,Lee Child,6,Jack Reacher exposes the secrets of a Colorado town.,Delacorte,http://www.amazon.com/Nothing-Lose-Jack-Reacher-No/dp/0440245583?tag=NYTBS-20
PLAGUE SHIP,Clive Cussler with Jack Du Brul,7,Juan Cabrillo and the crew of the Oregon must determine what happened on a cruise ship full of dead bodies.,Putnam,http://www.amazon.com/Plague-Ship-The-Oregon-Files/dp/0425226697?tag=NYTBS-20
THE BROKEN WINDOW,Jeffery Deaver,8,Detectives Lincoln Rhyme and Amelia Sachs confront a criminal who frames innocent people.,Simon & Schuster,http://www.amazon.com/The-Broken-Window-Lincoln-Rhyme/dp/1416549986?tag=NYTBS-20
THE STORY OF EDGAR SAWTELLE,David Wroblewski,9,A mute takes refuge with three dogs in the Wisconsin woods after his uncle murders his father.,Ecco,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20
NO CHOICE BUT SEDUCTION,Johanna Lindsey,10,"Sir Anthony Malory’s daughter is kidnapped, with repercussions for Katey and Boyd Anderson.",Pocket Books,http://www.amazon.com/No-Choice-But-Seduction-Malory/dp/1416537333?tag=NYTBS-20
THE BEACH HOUSE,Jane Green,11,A woman’s life changes when she rents out rooms in her Nantucket house.,"Viking, $24.95",http://www.amazon.com/The-Beach-House-A-Novel/dp/0452295386?tag=NYTBS-20
ODD HOURS,Dean R Koontz,12,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",Bantam,http://www.amazon.com/Odd-Hours-Dean-Koontz/dp/0553807056?tag=NYTBS-20
MARRIED LOVERS,Jackie Collins,13,An affair between a beautiful personal trainer and a producer married to Hollywood royalty leads to ­murder.,St. Martin’s,http://www.amazon.com/Married-Lovers-Jackie-Collins/dp/0312341814?tag=NYTBS-20
SUNDAYS AT TIFFANY’S,James Patterson and Gabrielle Charbonnet,14,A woman finds an unexpected love.,"Little, Brown",http://www.amazon.com/Sundays-at-Tiffanys-James-Patterson/dp/0446199443?tag=NYTBS-20
THE ART OF RACING IN THE RAIN,Garth Stein,15,"A Lab-terrier mix with great insight into the human condition helps his owner, a struggling race car driver.",Harper,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20
BLOOD NOIR,Laurell K Hamilton,16,The vampire hunter Anita Blake is involved in a scandal that threatens the master vampire Jean-Claude’s power.,Berkley,http://www.amazon.com/Blood-Anita-Blake-Vampire-Hunter/dp/0515146374?tag=NYTBS-20
SNUFF,Chuck Palahniuk,17,An aging porn queens aims to cap her career by having sex on film with 600 men in one day.,Doubleday,http://www.amazon.com/Snuff-Chuck-Palahniuk/dp/0385517882?tag=NYTBS-20
DEATH AND HONOR,W E B Griffin and William E Butterworth IV,18,A Marine pilot spies in  Argentina in 1943; the fourth book in the Honor Bound series.,Putnam,http://www.amazon.com/Death-Honor-Bound-Book/dp/0515146382?tag=NYTBS-20
THE SPIES OF WARSAW,Alan Furst,19,Intrigue in Poland just before World War II.,Random House,http://www.amazon.com/The-Spies-Warsaw-A-Novel/dp/0812977378?tag=NYTBS-20
PHANTOM PREY,John Sandford,20,The Minneapolis detective Lucas Davenport investigates a string of murders of young Goths.,Putnam,http://www.amazon.com/Phantom-Prey-John-Sandford/dp/0425227987?tag=NYTBS-20
FEARLESS FOURTEEN,Janet Evanovich,1,Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.,St. Martin’s,http://www.amazon.com/Fearless-Fourteen-Janet-Evanovich/dp/0312349513?tag=NYTBS-20
SAIL,James Patterson and Howard Roughan,2,A sailing vacation turns into a disaster when someone attempts to destroy a family.,"Little, Brown",http://www.amazon.com/Sail-James-Patterson/dp/0446536105?tag=NYTBS-20
TAILSPIN,Catherine Coulter,3,Dillon Savich and Lacey Sherlock — F.B.I. agents as well as husband and wife — come to the aid of a colleague protecting a Washington psychiatrist who has been disclosing secrets about his powerful patients.,Putnam,http://www.amazon.com/TailSpin-FBI-Thriller-Catherine-Coulter/dp/051514648X?tag=NYTBS-20
ROGUE,Danielle Steel,4,"A divorced doctor on the verge of marriage to a kind new man faces a quandary when her exasperating ex-husband, a dot-com millionaire, wants her to work with him on a humanitarian project.",Delacorte,http://www.amazon.com/Rogue-Danielle-Steel/dp/0440243297?tag=NYTBS-20
THE HOST,Stephenie Meyer,5,"Aliens have taken control of the minds and bodies of most humans, but one woman won’t surrender.","Little, Brown",http://www.amazon.com/The-Host-Novel-Stephenie-Meyer/dp/0316218502?tag=NYTBS-20
THE STORY OF EDGAR SAWTELLE,David Wroblewski,6,A mute takes refuge with three dogs in the Wisconsin woods after his uncle murders his father.,Ecco,http://www.amazon.com/Story-Edgar-Sawtelle-David-Wroblewski/dp/B005DIGU4O?tag=NYTBS-20
THE LAST ORACLE,James Rollins,7,Sigma Force operatives battle a group of rogue scientists.,Morrow,http://www.amazon.com/The-Last-Oracle-Sigma-Force/dp/0061230952?tag=NYTBS-20
CHASING HARRY WINSTON,Lauren Weisberger,8,"Three glamorous friends, New York women nearing 30, vow to change their lives.",Simon & Schuster,http://www.amazon.com/Chasing-Harry-Winston-A-Novel/dp/0743290119?tag=NYTBS-20
THE BEACH HOUSE,Jane Green,9,A woman’s life changes when she rents out rooms in her Nantucket house.,"Viking,",http://www.amazon.com/The-Beach-House-A-Novel/dp/0452295386?tag=NYTBS-20
LOVE THE ONE YOU'RE WITH,Emily Giffin,10,A woman’s happy marriage is shaken when she encounters an old boyfriend.,St. Martin’s,http://www.amazon.com/Love-Youre-With-Emily-Giffin/dp/0312348665?tag=NYTBS-20
NOTHING TO LOSE,Lee Child,11,Jack Reacher exposes the secrets of a Colorado town.,Delacorte,http://www.amazon.com/Nothing-Lose-Jack-Reacher-No/dp/0440245583?tag=NYTBS-20
THE BROKEN WINDOW,Jeffery Deaver,12,Detectives Lincoln Rhyme and Amelia Sachs confront a criminal who frames innocent people.,Simon & Schuster,http://www.amazon.com/The-Broken-Window-Lincoln-Rhyme/dp/1416549986?tag=NYTBS-20
PLAGUE SHIP,Clive Cussler with Jack Du Brul,13,Juan Cabrillo and the crew of the Oregon must determine what happened on a cruise ship full of dead bodies.,Putnam,http://www.amazon.com/Plague-Ship-The-Oregon-Files/dp/0425226697?tag=NYTBS-20
ODD HOURS,Dean R Koontz,14,"Odd Thomas, who can communicate with the dead, confronts evil forces in a California coastal town.",Bantam,http://www.amazon.com/Odd-Hours-Dean-Koontz/dp/0553807056?tag=NYTBS-20
AMERICA AMERICA,Ethan Canin,15,A boy becomes entangled with a powerful family in upstate New York in the early 1970s.,Random House,http://www.amazon.com/America-A-Novel-Ethan-Canin/dp/0679456805?tag=NYTBS-20
NO CHOICE BUT SEDUCTION,Johanna Lindsey,16,"Sir Anthony Malory’s daughter is kidnapped, with repercussions for Katey and Boyd Anderson.",Pocket Books,http://www.amazon.com/No-Choice-But-Seduction-Malory/dp/1416537333?tag=NYTBS-20
THE ART OF RACING IN THE RAIN,Garth Stein,17,"An insightful Lab-terrier mix helps his owner, a struggling race car driver.",Harper,http://www.amazon.com/The-Racing-Rain-Garth-Stein-ebook/dp/B0017SWPXY?tag=NYTBS-20
SUNDAYS AT TIFFANY’S,James Patterson and Gabrielle Charbonnet,18,A woman finds an unexpected love,"Little, Brown",http://www.amazon.com/Sundays-at-Tiffanys-James-Patterson/dp/0446199443?tag=NYTBS-20
MARRIED LOVERS,Jackie Collins,19,An affair between a beautiful personal trainer and a producer married to Hollywood royalty leads to ­murder.,St. Martin’s,http://www.amazon.com/Married-Lovers-Jackie-Collins/dp/0312341814?tag=NYTBS-20
QUEEN OF BABBLE GETS HITCHED,Meg Cabot,20,,HarperCollins Publishers,http://www.amazon.com/Queen-Babble-Gets-Hitched-Cabot/dp/006085202X?tag=NYTBS-20
THE LAST PATRIOT,Brad Thor,1,"Scot Harvath, a Homeland Security superagent, searches for an ancient secret that could defeat Islamic militants.",Atria,http://www.amazon.com/The-Last-Patriot-A-Thriller/dp/1416543848?tag=NYTBS-20
FEARLESS FOURTEEN,Janet Evanovich,2,Stephanie Plum and her boyfriend Joe Morelli become involved when his cousin’s bank robbery goes bad.,St. Martin’s,http://www.amazon.com/Fearless-Fourteen-Janet-Evanovich/dp/0312349513?tag=NYTBS-20
