title,author,rank,description,publisher,amazon_product_url
VICIOUS CIRCLE,C J Box,11,"Newly released from prison, Dallas Cates tries to exact revenge on the Wyoming game warden Joe Pickett, who put him there.",Putnam,https://www.amazon.com/Vicious-Circle-Joe-Pickett-Novel-ebook/dp/B01HYUVHIM?tag=NYTBS-20
EARTHLY REMAINS,Donna Leon,12,The 26th Commissario Guido Brunetti mystery.,Atlantic Monthly,https://www.amazon.com/Earthly-Remains-Commissario-Brunetti-Mystery-ebook/dp/B01N2NER6T?tag=NYTBS-20
LINCOLN IN THE BARDO,George Saunders,13,"Visiting the grave of his recently deceased young son in 1862, Lincoln encounters a cemetery full of ghosts.",Random House,https://www.amazon.com/Lincoln-Bardo-Novel-George-Saunders/dp/0812995341?tag=NYTBS-20
PRUSSIAN BLUE,Philip Kerr,14,"In the 12th Bernie Gunther novel, the action takes place both at Hitler’s villa, the Berghof, in 1939 and in Cannes in 1956.",Marian Wood/Putnam,https://www.amazon.com/Prussian-Blue-Bernie-Gunther-Novel/dp/0399177051?tag=NYTBS-20
THE CUTTHROAT,Clive Cussler and Justin Scott,15,"In 1911, searching for a young actress who has disappeared, the detective Isaac Bell discovers a serial killer.",Putnam,https://www.amazon.com/Cutthroat-Isaac-Bell-Adventure-ebook/dp/B01HCGYXR0?tag=NYTBS-20
THE BLACK BOOK,James Patterson and David Ellis,1,"After a raid on a brothel that serviced Chicago’s elite, the madam’s black book has disappeared.","Little, Brown",https://www.amazon.com/Black-Book-James-Patterson-ebook/dp/B01HZFB38U?tag=NYTBS-20
THRAWN,Timothy Zahn,2,"The origins of Grand Admiral Thrawn, an iconic “Star Wars” villain.",Del Rey,https://www.amazon.com/Thrawn-Star-Wars-Timothy-Zahn/dp/0345511271?tag=NYTBS-20
"ALL BY MYSELF, ALONE",Mary Higgins Clark,3,"On a luxury cruise ship, a wealthy aristocrat is found murdered, and her emerald necklace has disappeared.",Simon & Schuster,https://www.amazon.com/Myself-Alone-Mary-Higgins-Clark-ebook/dp/B01HMXRYWY?tag=NYTBS-20
ONE PERFECT LIE,Lisa Scottoline,4,A high school baseball coach hiding his real identity poses a threat to an idyllic suburban community.,St. Martin's,https://www.amazon.com/One-Perfect-Lie-Lisa-Scottoline-ebook/dp/B01M0TIYYM?tag=NYTBS-20
THE BURIAL HOUR,Jeffery Deaver,5,Lincoln Rhyme travels to Italy to investigate a case.,Grand Central,https://www.amazon.com/Burial-Hour-Lincoln-Rhyme-Novel-ebook/dp/B01K3WN6BY?tag=NYTBS-20
TWO FROM THE HEART,"James Patterson and Frank Costantini, Emily Raymond and Brian Sitts",6,Two stories about the power of stories.,"Little, Brown",https://www.amazon.com/Two-Heart-James-Patterson/dp/0316468908?tag=NYTBS-20
NORSE MYTHOLOGY,Neil Gaiman,7,A retelling of Norse folklore.,Norton,https://www.amazon.com/Norse-Mythology-Neil-Gaiman/dp/039360909X?tag=NYTBS-20
SONG OF THE LION,Anne Hillerman,8,"The third Southwestern mystery featuring the Navajo police officer Bernadette Manuelito and her husband, Jim Chee.",Harper,https://www.amazon.com/Song-Lion-Leaphorn-Manuelito-Novel/dp/0062391909?tag=NYTBS-20
THE LOST ORDER,Steve Berry,9,"In the 12th Cotton Malone thriller, the former Justice Department operative pursues current and historical conspiracies.",Minotaur,https://www.amazon.com/Lost-Order-Novel-Cotton-Malone-ebook/dp/B01H03I6U0?tag=NYTBS-20
MISSISSIPPI BLOOD,Greg Iles,10,"Penn Cage, now the mayor of Natchez, Miss., investigates the secrets of his family and the South in the conclusion to the Natchez Burning trilogy.",Morrow/HarperCollins,https://www.amazon.com/Mississippi-Blood-Novel-Natchez-Burning-ebook/dp/B01HXJREHW?tag=NYTBS-20
THE WOMEN IN THE CASTLE,Jessica Shattuck,11,The widows of three men killed for attempting to assassinate Hitler take refuge together at the war’s end.,Morrow/HarperCollins,https://www.amazon.com/Women-Castle-Novel-Jessica-Shattuck/dp/0062563661?tag=NYTBS-20
THE UNDERGROUND RAILROAD,Colson Whitehead,12,"A slave girl heads toward freedom on the network, envisioned as actual tracks and tunnels.",Doubleday,http://www.amazon.com/Underground-Railroad-Oprahs-Book-Club/dp/0385542364?tag=NYTBS-20
A GENTLEMAN IN MOSCOW,Amor Towles,13,A Russian count undergoes 30 years of house arrest.,Viking,http://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?tag=NYTBS-20
THE TEA GIRL OF HUMMINGBIRD LANE,Lisa See,14,"A woman from rural China eventually moves to California, where the daughter she gave up for adoption lives.",Scribner,https://www.amazon.com/Tea-Girl-Hummingbird-Lane/dp/1501154826?tag=NYTBS-20
THE NIGHT THE LIGHTS WENT OUT,Karen White,15,"A single mother moves to a wealthy Atlanta suburb in search of a fresh start, but the other women’s knives are out.",Berkley,https://www.amazon.com/Night-Lights-Went-Out/dp/0451488385?tag=NYTBS-20
THE FIX,David Baldacci,1,The detective Amos Decker (“Memory Man”) witnesses a murder-suicide that turns out to be a matter of national security.,Grand Central,https://www.amazon.com/Fix-Amos-Decker-David-Baldacci/dp/1455586560?tag=NYTBS-20
THE BLACK BOOK,James Patterson and David Ellis,2,"After a raid on a brothel that serviced Chicago’s elite, the madam’s black book has disappeared.","Little, Brown",https://www.amazon.com/Black-Book-James-Patterson-ebook/dp/B01HZFB38U?tag=NYTBS-20
FAST AND LOOSE,Stuart Woods,3,"In the 41st Stone Barrington novel, the New York attorney acquires a ruthless, hot-headed enemy.",Putnam,https://www.amazon.com/Fast-Loose-Stone-Barrington-Novel-ebook/dp/B01J2STXC6?tag=NYTBS-20
THRAWN,Timothy Zahn,4,"The origins of Grand Admiral Thrawn, an iconic “Star Wars” villain.",Del Rey,https://www.amazon.com/Thrawn-Star-Wars-Timothy-Zahn/dp/0345511271?tag=NYTBS-20
"ALL BY MYSELF, ALONE",Mary Higgins Clark,5,"On a luxury cruise ship, a wealthy aristocrat is found murdered, and her emerald necklace is gone.",Simon & Schuster,https://www.amazon.com/Myself-Alone-Mary-Higgins-Clark-ebook/dp/B01HMXRYWY?tag=NYTBS-20
NORSE MYTHOLOGY,Neil Gaiman,6,A retelling of Norse folklore.,Norton,https://www.amazon.com/Norse-Mythology-Neil-Gaiman/dp/039360909X?tag=NYTBS-20
THE WOMEN IN THE CASTLE,Jessica Shattuck,7,The widows of three men killed for attempting to assassinate Hitler take refuge together at the war’s end.,Morrow/HarperCollins,https://www.amazon.com/Women-Castle-Novel-Jessica-Shattuck/dp/0062563661?tag=NYTBS-20
TWO FROM THE HEART,"James Patterson and Frank Costantini, Emily Raymond and Brian Sitts",8,Two stories about the power of stories.,"Little, Brown",https://www.amazon.com/Two-Heart-James-Patterson/dp/0316468908?tag=NYTBS-20
ONE PERFECT LIE,Lisa Scottoline,9,A high school baseball coach hiding his real identity poses a threat to an idyllic suburban community.,St. Martin's,https://www.amazon.com/One-Perfect-Lie-Lisa-Scottoline-ebook/dp/B01M0TIYYM?tag=NYTBS-20
A GENTLEMAN IN MOSCOW,Amor Towles,10,A Russian count undergoes 30 years of house arrest.,Viking,http://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?tag=NYTBS-20
THE STARS ARE FIRE,Anita Shreve,11,A young mother remakes her life after a fire in postwar coastal Maine.,Knopf,https://www.amazon.com/Stars-Are-Fire-novel-ebook/dp/B01LYMHHJG?tag=NYTBS-20
THE UNDERGROUND RAILROAD,Colson Whitehead,12,"A slave girl heads toward freedom on the network, envisioned as actual tracks and tunnels.",Doubleday,http://www.amazon.com/Underground-Railroad-Oprahs-Book-Club/dp/0385542364?tag=NYTBS-20
THE LOST ORDER,Steve Berry,13,"In the 12th Cotton Malone thriller, the former Justice Department operative pursues current and historical conspiracies.",Minotaur,https://www.amazon.com/Lost-Order-Novel-Cotton-Malone-ebook/dp/B01H03I6U0?tag=NYTBS-20
MISSISSIPPI BLOOD,Greg Iles,14,"Penn Cage, now the mayor of Natchez, Miss., investigates the secrets of his family and the South in the conclusion to the Natchez Burning trilogy.",Morrow/HarperCollins,https://www.amazon.com/Mississippi-Blood-Novel-Natchez-Burning-ebook/dp/B01HXJREHW?tag=NYTBS-20
FALLOUT,Sara Paretsky,15,"V .I. Warshawski, the Chicago P.I. follows a case to Lawrence, Kan., where the past turns out to be very present.",Morrow/HarperCollins,https://www.amazon.com/Fallout-V-I-Warshawski-Novel-Novels/dp/0062435841?tag=NYTBS-20
GOLDEN PREY,John Sandford,1,"Lucas Davenport, now a U.S. Marshal, pursues a thief who robbed a drug cartel and killed a child in Biloxi, Miss.",Putnam,https://www.amazon.com/Golden-Prey-Novel-John-Sandford-ebook/dp/B01JHQPTWQ?tag=NYTBS-20
THE FIX,David Baldacci,2,The detective Amos Decker (“Memory Man”) witnesses a murder-suicide that turns out to be a matter of national security.,Grand Central,https://www.amazon.com/Fix-Amos-Decker-David-Baldacci/dp/1455586560?tag=NYTBS-20
THE BLACK BOOK,James Patterson and David Ellis,3,"After a raid on a brothel that serviced Chicago’s elite, the madam’s black book has disappeared.","Little, Brown",https://www.amazon.com/Black-Book-James-Patterson-ebook/dp/B01HZFB38U?tag=NYTBS-20
ANYTHING IS POSSIBLE,Elizabeth Strout,4,"A novel-in-stories about the lives of the inhabitants of the rural Illinois hometown of Lucy Barton, the protagonist of Strout’s previous novel.",Random House,https://www.amazon.com/Anything-Possible-Novel-Elizabeth-Strout-ebook/dp/B01LY2BN5I?tag=NYTBS-20
BEARTOWN,Fredrik Backman,5,"Its hockey team’s success will revive a dying town, but its star is caught up in a scandal.",Atria,https://www.amazon.com/Beartown-Novel-Fredrik-Backman-ebook/dp/B01KG5GQDS?tag=NYTBS-20
"ALL BY MYSELF, ALONE",Mary Higgins Clark,6,"On a luxury cruise ship, a wealthy aristocrat is found murdered, and her emerald necklace is gone.",Simon & Schuster,https://www.amazon.com/Myself-Alone-Mary-Higgins-Clark-ebook/dp/B01HMXRYWY?tag=NYTBS-20
A GENTLEMAN IN MOSCOW,Amor Towles,7,A Russian count undergoes 30 years of house arrest.,Viking,http://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?tag=NYTBS-20
ONE PERFECT LIE,Lisa Scottoline,8,A high school baseball coach hiding his real identity poses a threat to an idyllic suburban community.,St. Martin's,https://www.amazon.com/One-Perfect-Lie-Lisa-Scottoline-ebook/dp/B01M0TIYYM?tag=NYTBS-20
NORSE MYTHOLOGY,Neil Gaiman,9,A retelling of Norse folklore.,Norton,https://www.amazon.com/Norse-Mythology-Neil-Gaiman/dp/039360909X?tag=NYTBS-20
THE WOMEN IN THE CASTLE,Jessica Shattuck,10,The widows of three men killed for attempting to assassinate Hitler take refuge together at the war’s end.,Morrow/HarperCollins,https://www.amazon.com/Women-Castle-Novel-Jessica-Shattuck/dp/0062563661?tag=NYTBS-20
FAST AND LOOSE,Stuart Woods,11,"In the 41st Stone Barrington novel, the New York attorney acquires a ruthless, hot-headed enemy.",Putnam,https://www.amazon.com/Fast-Loose-Stone-Barrington-Novel-ebook/dp/B01J2STXC6?tag=NYTBS-20
THRAWN,Timothy Zahn,12,"The origins of Grand Admiral Thrawn, an iconic “Star Wars” villain.",Del Rey,https://www.amazon.com/Thrawn-Star-Wars-Timothy-Zahn/dp/0345511271?tag=NYTBS-20
THE UNDERGROUND RAILROAD,Colson Whitehead,13,"A slave girl heads toward freedom on the network, envisioned as actual tracks and tunnels.",Doubleday,http://www.amazon.com/Underground-Railroad-Oprahs-Book-Club/dp/0385542364?tag=NYTBS-20
THE STARS ARE FIRE,Anita Shreve,14,A young mother remakes her life after a fire in postwar coastal Maine.,Knopf,https://www.amazon.com/Stars-Are-Fire-novel-ebook/dp/B01LYMHHJG?tag=NYTBS-20
TWO FROM THE HEART,"James Patterson and Frank Costantini, Emily Raymond and Brian Sitts",15,Two stories about the power of stories.,"Little, Brown",https://www.amazon.com/Two-Heart-James-Patterson/dp/0316468908?tag=NYTBS-20
16TH SEDUCTION,James Patterson and Maxine Paetro,1,"In San Francisco, Detective Lindsay Boxer and the Women’s Murder Club face their toughest case yet.","Little, Brown",https://www.amazon.com/16th-Seduction-Womens-Murder-Club-ebook/dp/B01LXW2CGJ?tag=NYTBS-20
INTO THE WATER,Paula Hawkins,2,"In this psychological thriller by the author of “The Girl on the Train,” women are found drowned in a river in an English town.",Riverhead,https://www.amazon.com/Into-Water-Novel-Paula-Hawkins-ebook/dp/B01N590V3K?tag=NYTBS-20
AGAINST ALL ODDS,Danielle Steel,3,A mother must learn to let her adult children make their own decisions.,Delacorte,https://www.amazon.com/Against-All-Odds-Danielle-Steel-ebook/dp/B01JWDZ7TE?tag=NYTBS-20
THE FIX,David Baldacci,4,The detective Amos Decker (“Memory Man”) witnesses a murder-suicide that turns out to be a matter of national security.,Grand Central,https://www.amazon.com/Fix-Amos-Decker-David-Baldacci/dp/1455586560?tag=NYTBS-20
GOLDEN PREY,John Sandford,5,"Lucas Davenport, now a U.S. Marshal, pursues a thief who robbed a drug cartel and killed a child in Biloxi, Miss.",Putnam,https://www.amazon.com/Golden-Prey-Novel-John-Sandford-ebook/dp/B01JHQPTWQ?tag=NYTBS-20
THE BROKEN ROAD,Richard Paul Evans,6,A successful man who is questioning his life gets a second chance. The first book in a new trilogy.,Simon & Schuster,https://www.amazon.com/Broken-Road-Novel/dp/1501111647?tag=NYTBS-20
THE BLACK BOOK,James Patterson and David Ellis,7,"After a raid on a brothel that serviced Chicago’s elite, the madam’s black book has disappeared.","Little, Brown",https://www.amazon.com/Black-Book-James-Patterson-ebook/dp/B01HZFB38U?tag=NYTBS-20
ANYTHING IS POSSIBLE,Elizabeth Strout,8,"A novel-in-stories about the lives of the inhabitants of the rural Illinois hometown of Lucy Barton, the protagonist of Strout’s previous novel.",Random House,https://www.amazon.com/Anything-Possible-Novel-Elizabeth-Strout-ebook/dp/B01LY2BN5I?tag=NYTBS-20
A GENTLEMAN IN MOSCOW,Amor Towles,9,A Russian count undergoes 30 years of house arrest.,Viking,http://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?tag=NYTBS-20
BEARTOWN,Fredrik Backman,10,A hockey star is caught up in a scandal.,Atria,https://www.amazon.com/Beartown-Novel-Fredrik-Backman-ebook/dp/B01KG5GQDS?tag=NYTBS-20
ROBERT B. PARKER'S LITTLE WHITE LIES,Ace Atkins,11,"Spenser is on the trail of a con man who has duped lovers, investors and military contractors; a continuation of the series by Parker, who died in 2010.",Putnam,https://www.amazon.com/Robert-Parkers-Little-White-Spenser-ebook/dp/B01K1AU0SK?tag=NYTBS-20
"ALL BY MYSELF, ALONE",Mary Higgins Clark,12,"On a luxury cruise ship, a wealthy aristocrat is found murdered, and her emerald necklace is gone.",Simon & Schuster,https://www.amazon.com/Myself-Alone-Mary-Higgins-Clark-ebook/dp/B01HMXRYWY?tag=NYTBS-20
ONE PERFECT LIE,Lisa Scottoline,13,A high school baseball coach hiding his real identity poses a threat to an idyllic suburban community.,St. Martin's,https://www.amazon.com/One-Perfect-Lie-Lisa-Scottoline-ebook/dp/B01M0TIYYM?tag=NYTBS-20
NORSE MYTHOLOGY,Neil Gaiman,14,A retelling of Norse folklore.,Norton,https://www.amazon.com/Norse-Mythology-Neil-Gaiman/dp/039360909X?tag=NYTBS-20
THE UNDERGROUND RAILROAD,Colson Whitehead,15,"A slave girl heads toward freedom on the network, envisioned as actual tracks and tunnels.",Doubleday,http://www.amazon.com/Underground-Railroad-Oprahs-Book-Club/dp/0385542364?tag=NYTBS-20
INTO THE WATER,Paula Hawkins,1,"In this psychological thriller by the author of “The Girl on the Train,” women are found drowned in a river in an English town.",Riverhead,https://www.amazon.com/Into-Water-Novel-Paula-Hawkins-ebook/dp/B01N590V3K?tag=NYTBS-20
16TH SEDUCTION,James Patterson and Maxine Paetro,2,"In San Francisco, Detective Lindsay Boxer and the Women’s Murder Club face their toughest case yet.","Little, Brown",https://www.amazon.com/16th-Seduction-Womens-Murder-Club-ebook/dp/B01LXW2CGJ?tag=NYTBS-20
AGAINST ALL ODDS,Danielle Steel,3,A mother must learn to let her adult children make their own decisions.,Delacorte,https://www.amazon.com/Against-All-Odds-Danielle-Steel-ebook/dp/B01JWDZ7TE?tag=NYTBS-20
THE FIX,David Baldacci,4,The detective Amos Decker (“Memory Man”) witnesses a murder-suicide that turns out to be a matter of national security.,Grand Central,https://www.amazon.com/Fix-Amos-Decker-David-Baldacci/dp/1455586560?tag=NYTBS-20
GOLDEN PREY,John Sandford,5,"Lucas Davenport, now a U.S. Marshal, pursues a thief who robbed a drug cartel and killed a child in Biloxi, Miss.",Putnam,https://www.amazon.com/Golden-Prey-Novel-John-Sandford-ebook/dp/B01JHQPTWQ?tag=NYTBS-20
THE THIRST,Jo Nesbo,6,Retired Inspector Harry Hole is drawn back to the Crime Squad by the case of a serial killer who targets women who use Tinder — and apparently bites them to death.,Knopf,https://www.amazon.com/Thirst-Harry-Hole-Novel-ebook/dp/B01LYUULAP?tag=NYTBS-20
SINCE WE FELL,Dennis Lehane,7,"A woman struggles to understand who she really is, first searching for her father, then coping with a breakdown.",Ecco/HarperCollins,https://www.amazon.com/Since-We-Fell-Dennis-Lehane-ebook/dp/B01M312NB9?tag=NYTBS-20
MEN WITHOUT WOMEN,Haruki Murakami,8,Seven stories by the Japanese writer.,Knopf,https://www.amazon.com/Men-Without-Women-Haruki-Murakami/dp/0451494628?tag=NYTBS-20
THE BLACK BOOK,James Patterson and David Ellis,9,"After a raid on a brothel that serviced Chicago’s elite, the madam’s black book has disappeared.","Little, Brown",https://www.amazon.com/Black-Book-James-Patterson-ebook/dp/B01HZFB38U?tag=NYTBS-20
A DOG'S WAY HOME,W Bruce Cameron,10,"Separated from the man who rescued her as a puppy, a dog sets out across 400 miles of wilderness.",Forge/Tom Doherty,https://www.amazon.com/Dogs-Way-Home-Bruce-Cameron/dp/076537465X?tag=NYTBS-20
A GENTLEMAN IN MOSCOW,Amor Towles,11,A Russian count undergoes 30 years of house arrest.,Viking,http://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?tag=NYTBS-20
ANYTHING IS POSSIBLE,Elizabeth Strout,12,"A novel-in-stories about the lives of the inhabitants of the rural Illinois hometown of Lucy Barton, the protagonist of Strout’s previous novel.",Random House,https://www.amazon.com/Anything-Possible-Novel-Elizabeth-Strout-ebook/dp/B01LY2BN5I?tag=NYTBS-20
"ALL BY MYSELF, ALONE",Mary Higgins Clark,13,"On a luxury cruise ship, a wealthy aristocrat is found murdered, and her emerald necklace is gone.",Simon & Schuster,https://www.amazon.com/Myself-Alone-Mary-Higgins-Clark-ebook/dp/B01HMXRYWY?tag=NYTBS-20
THE WOMEN IN THE CASTLE,Jessica Shattuck,14,The widows of three men killed for attempting to assassinate Hitler take refuge together at the war’s end.,Morrow/HarperCollins,https://www.amazon.com/Women-Castle-Novel-Jessica-Shattuck/dp/0062563661?tag=NYTBS-20
ASSASSIN'S FATE,Robin Hobb,15,Book 3 of the Fitz and the Fool trilogy.,Del Rey,https://www.amazon.com/Assassins-Fate-Book-Fitz-trilogy-ebook/dp/B01GYPQRYM?tag=NYTBS-20
INTO THE WATER,Paula Hawkins,1,"In this psychological thriller by the author of “The Girl on the Train,” women are found drowned in a river in an English town.",Riverhead,https://www.amazon.com/Into-Water-Novel-Paula-Hawkins-ebook/dp/B01N590V3K?tag=NYTBS-20
NO MIDDLE NAME,Lee Child,2,A complete collection of Jack Reacher stories.,Delacorte,https://www.amazon.com/No-Middle-Name-Complete-Collected-ebook/dp/B01MTJQFQY?tag=NYTBS-20
16TH SEDUCTION,James Patterson and Maxine Paetro,3,"In San Francisco, Detective Lindsay Boxer and the Women’s Murder Club face their toughest case yet.","Little, Brown",https://www.amazon.com/16th-Seduction-Womens-Murder-Club-ebook/dp/B01LXW2CGJ?tag=NYTBS-20
"SAME BEACH, NEXT YEAR",Dorothea Benton Frank,4,Two couples form a lifelong friendship during annual reunions on one of South Carolina's barrier islands.,Morrow,https://www.amazon.com/Same-Beach-Next-Year-Novel-ebook/dp/B01LL0JG3Y?tag=NYTBS-20
THE FIX,David Baldacci,5,The detective Amos Decker (“Memory Man”) witnesses a murder-suicide that turns out to be a matter of national security.,Grand Central,https://www.amazon.com/Fix-Amos-Decker-David-Baldacci/dp/1455586560?tag=NYTBS-20
TESTIMONY,Scott Turow,6,A former Illinois prosecutor joins the International Criminal Court to investigate a massacre in Bosnia.,Grand Central,https://www.amazon.com/Testimony-Scott-Turow/dp/1455553549?tag=NYTBS-20
GWENDY'S BUTTON BOX,Stephen King and Richard Chizmar,7,"King returns to Castle Rock, Me., in this novella set in 1974.",Cemetery Dance,https://www.amazon.com/Gwendys-Button-Box-Stephen-King/dp/1587676109?tag=NYTBS-20
GOLDEN PREY,John Sandford,8,"Lucas Davenport, now a U.S. Marshal, pursues a thief who robbed a drug cartel and killed a child in Biloxi, Miss.",Putnam,https://www.amazon.com/Golden-Prey-Novel-John-Sandford-ebook/dp/B01JHQPTWQ?tag=NYTBS-20
AGAINST ALL ODDS,Danielle Steel,9,A mother must learn to let her adult children make their own decisions.,Delacorte,https://www.amazon.com/Against-All-Odds-Danielle-Steel-ebook/dp/B01JWDZ7TE?tag=NYTBS-20
FULL WOLF MOON,Lincoln Child,10,Could hikers in the Adirondacks have been killed by werewolfs?,Doubleday,https://www.amazon.com/Full-Wolf-Moon-Novel-Jeremy-ebook/dp/B01LYMHM2Z?tag=NYTBS-20
A GENTLEMAN IN MOSCOW,Amor Towles,11,A Russian count undergoes 30 years of house arrest.,Viking,http://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?tag=NYTBS-20
SINCE WE FELL,Dennis Lehane,12,"A woman struggles to understand who she really is, first searching for her father, then coping with a breakdown.",Ecco/HarperCollins,https://www.amazon.com/Since-We-Fell-Dennis-Lehane-ebook/dp/B01M312NB9?tag=NYTBS-20
THE THIRST,Jo Nesbo,13,Retired Inspector Harry Hole is drawn back to the Crime Squad by the case of a serial killer who targets women who use Tinder — and apparently bites them to death.,Knopf,https://www.amazon.com/Thirst-Harry-Hole-Novel-ebook/dp/B01LYUULAP?tag=NYTBS-20
A DOG'S WAY HOME,W Bruce Cameron,14,"Separated from the man who rescued her as a puppy, a dog sets out across 400 miles of wilderness.",Forge/Tom Doherty,https://www.amazon.com/Dogs-Way-Home-Bruce-Cameron/dp/076537465X?tag=NYTBS-20
ANYTHING IS POSSIBLE,Elizabeth Strout,15,"A novel-in-stories about the lives of the inhabitants of the rural Illinois hometown of Lucy Barton, the protagonist of Strout’s previous novel.",Random House,https://www.amazon.com/Anything-Possible-Novel-Elizabeth-Strout-ebook/dp/B01LY2BN5I?tag=NYTBS-20
INTO THE WATER,Paula Hawkins,1,"In this psychological thriller by the author of “The Girl on the Train,” women are found drowned in a river in an English town.",Riverhead,https://www.amazon.com/Into-Water-Novel-Paula-Hawkins-ebook/dp/B01N590V3K?tag=NYTBS-20
DRAGON TEETH,Michael Crichton,2,"A college student joins a fossil-hunting expedition in the 19th-century West and is caught up in the rivalry between two paleontologists. A recently discovered manuscript by Crichton, who died in 2008.",Harper/HarperCollins,https://www.amazon.com/Dragon-Teeth-Novel-Michael-Crichton/dp/0062473352?tag=NYTBS-20
NO MIDDLE NAME,Lee Child,3,A complete collection of Jack Reacher stories.,Delacorte,https://www.amazon.com/No-Middle-Name-Complete-Collected-ebook/dp/B01MTJQFQY?tag=NYTBS-20
16TH SEDUCTION,James Patterson and Maxine Paetro,4,"In San Francisco, Detective Lindsay Boxer and the Women’s Murder Club face their toughest case yet.","Little, Brown",https://www.amazon.com/16th-Seduction-Womens-Murder-Club-ebook/dp/B01LXW2CGJ?tag=NYTBS-20
THE FIX,David Baldacci,5,The detective Amos Decker (“Memory Man”) witnesses a murder-suicide that turns out to be a matter of national security.,Grand Central,https://www.amazon.com/Fix-Amos-Decker-David-Baldacci/dp/1455586560?tag=NYTBS-20
"SAME BEACH, NEXT YEAR",Dorothea Benton Frank,6,Two couples form a lifelong friendship during annual reunions on one of South Carolina's barrier islands.,Morrow,https://www.amazon.com/Same-Beach-Next-Year-Novel-ebook/dp/B01LL0JG3Y?tag=NYTBS-20
TESTIMONY,Scott Turow,7,A former Illinois prosecutor joins the International Criminal Court to investigate a massacre in Bosnia.,Grand Central,https://www.amazon.com/Testimony-Scott-Turow/dp/1455553549?tag=NYTBS-20
THE FROZEN HOURS,Jeff Shaara,8,"A fictional account of the Battle of Choisin Reservoir during the Korean War, where Americans battled Chinese forces and brutal temperatures.",Ballantine,https://www.amazon.com/Frozen-Hours-Novel-Korean-War/dp/0345549228?tag=NYTBS-20
GOLDEN PREY,John Sandford,9,"Lucas Davenport, now a U.S. Marshal, pursues a thief who robbed a drug cartel and killed a child in Biloxi, Miss.",Putnam,https://www.amazon.com/Golden-Prey-Novel-John-Sandford-ebook/dp/B01JHQPTWQ?tag=NYTBS-20
AGAINST ALL ODDS,Danielle Steel,10,A mother must learn to let her adult children make their own decisions.,Delacorte,https://www.amazon.com/Against-All-Odds-Danielle-Steel-ebook/dp/B01JWDZ7TE?tag=NYTBS-20
A GENTLEMAN IN MOSCOW,Amor Towles,11,A Russian count undergoes 30 years of house arrest.,Viking,http://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?tag=NYTBS-20
RICH PEOPLE PROBLEMS,Kevin Kwan,12,"A family battles over money in the final installment of the trilogy including ""Crazy Rich Asians"" and ""China Rich Girlfriend.""",Doubleday,https://www.amazon.com/Rich-People-Problems-Kevin-Kwan/dp/0385542232?tag=NYTBS-20
SINCE WE FELL,Dennis Lehane,13,"A woman struggles to understand who she really is, first searching for her father, then coping with a breakdown.",Ecco/HarperCollins,https://www.amazon.com/Since-We-Fell-Dennis-Lehane-ebook/dp/B01M312NB9?tag=NYTBS-20
GWENDY'S BUTTON BOX,Stephen King and Richard Chizmar,14,"King returns to Castle Rock, Me., in this novella set in 1974.",Cemetery Dance,https://www.amazon.com/Gwendys-Button-Box-Stephen-King/dp/1587676109?tag=NYTBS-20
ANYTHING IS POSSIBLE,Elizabeth Strout,15,"A novel-in-stories about the lives of the inhabitants of the rural Illinois hometown of Lucy Barton, the protagonist of Strout’s previous novel.",Random House,https://www.amazon.com/Anything-Possible-Novel-Elizabeth-Strout-ebook/dp/B01LY2BN5I?tag=NYTBS-20
COME SUNDOWN,Nora Roberts,1,"Years after she was kidnapped, a woman returns to her family’s Montana ranch.",St. Martin's,https://www.amazon.com/Come-Sundown-Nora-Roberts-ebook/dp/B01M4GE64D?tag=NYTBS-20
INTO THE WATER,Paula Hawkins,2,"In this psychological thriller by the author of “The Girl on the Train,” women are found drowned in a river in an English town.",Riverhead,https://www.amazon.com/Into-Water-Novel-Paula-Hawkins-ebook/dp/B01N590V3K?tag=NYTBS-20
DRAGON TEETH,Michael Crichton,3,"A paleontological rivalry plays out in 1870s Wyoming. A recently discovered manuscript by Crichton, who died in 2008.",Harper/HarperCollins,https://www.amazon.com/Dragon-Teeth-Novel-Michael-Crichton/dp/0062473352?tag=NYTBS-20
NIGHTHAWK,Clive Cussler and Graham Brown,4,The NUMA crew races the Russians and Chinese in a hunt for a missing American aircraft.,Putnam,https://www.amazon.com/Nighthawk-NUMA-Files-Clive-Cussler-ebook/dp/B01M0I28M0?tag=NYTBS-20
NO MIDDLE NAME,Lee Child,5,A complete collection of Jack Reacher stories.,Delacorte,https://www.amazon.com/No-Middle-Name-Complete-Collected-ebook/dp/B01MTJQFQY?tag=NYTBS-20
