,title,author,isbn13,isbn10,rank,rating,description,amazon_product_url,publisher,categories,year
2795,FOOD RULES,Michael Pollan;,9780143116387,014311638X,2.0,,"A manual for healthy eating, from the author of ""The Omnivore''s Dilemma.""",https://www.amazon.com/Food-Rules-An-Eaters-Manual/dp/1594203083?tag=NYTBS-20,,,2009-12-29
2796,"FOOD WARS!, VOL. 11",Yuto Tsukuda;Shun Saeki;Yuki Morisaki,9781421584454,142158445X,2.0,,Soma must defeat Mimasaka if he wants to advance to the next round of the annual culinary competition.,https://www.amazon.com/Food-Wars-Vol-11-Shokugeki/dp/142158445X?tag=NYTBS-20,,,2016-04-05
2797,"FOOD WARS!, VOL. 12",Yuto Tsukuda;Shun Saeki;Yuki Morisaki,9781421585086,1421585081,4.0,,"The Fall Classic semifinals features a three-way battle between Soma, Hayama and Kurokiba and the chosen ingredient the autumn staple pike.",https://www.amazon.com/Food-Wars-Vol-12-Shokugeki/dp/1421585081?tag=NYTBS-20,,,
2798,"FOOD WARS!, VOL. 14",Yuto Tsukuda;Shun Saeki,9781421586557,142158655X,2.0,,Soma’s latest assignment: working for Shinomiya at his new Tokyo restaurant.,https://www.amazon.com/Food-Wars-Shokugeki-Soma-Vol/dp/142158655X?tag=NYTBS-20,,,2016-10-04
2799,"FOOD WARS!, VOL. 2",Yuto Tsukuda;Shun Saeki,9781421572550,1421572559,3.0,,"Soma Yukihira enrolls in a prestigious culinary academy, but can he succeed in a highly competitive school that has only a 10 percent graduation rate?",https://www.amazon.com/Food-Wars-Vol-Shokugeki-Soma/dp/1421572559?tag=NYTBS-20,,,2014-10-07
2800,"FOOD WARS!, VOL. 3",Yuto Tsukuda;Shun Saeki,9781421572567,1421572567,5.0,,"Soma Yukihira enrolls in a prestigious culinary academy, but can he succeed in a highly competitive school that has only a ten percent graduation rate?",https://www.amazon.com/Food-Wars-Vol-Shokugeki-Soma/dp/1421572567?tag=NYTBS-20,,,2014-12-02
2801,"FOOD WARS!, VOL. 4",Yuto Tsukuda;Shun Saeki,9781421572574,1421572575,2.0,,"Soma Yukihira enrolls in a prestigious culinary academy, but can he succeed in a highly competitive school that has only a ten percent graduation rate?",https://www.amazon.com/Food-Wars-Vol-Shokugeki-Soma/dp/1421572575?tag=NYTBS-20,,,2015-02-03
2802,"FOOD WARS!, VOL. 6",Yuto Tsukuda;Shun Saeki,9781421576886,1421576880,5.0,,"The Fall Classic, the Totsuki Institute’s annual culinary competition, is here and the participants have been selected. Who will be crowned the winner?",https://www.amazon.com/Food-Wars-Vol-Yuto-Tsukudo/dp/1421576880?tag=NYTBS-20,,,2015-06-02
2803,"FOOD WARS!, VOL. 8",Yuto Tsukuda;Shun Saeki,9781421579665,1421579669,2.0,,"The Fall Classic, the Totsuki Institute’s annual culinary competition, is here and the participants have been selected. Who will be crowned the winner?",https://www.amazon.com/Food-Wars-Vol-Shokugeki-Soma/dp/1421579669?tag=NYTBS-20,,,2015-10-06
2804,"FOOD WARS!, VOL. 9",Yuto Tsukuda;Shun Saeki,9781421580289,1421580284,3.0,,"The Fall Classic, the Totsuki Institute’s annual culinary competition, begins. Round one: bento boxes.",https://www.amazon.com/Food-Wars-Vol-Shokugeki-Soma/dp/1421580284?tag=NYTBS-20,,,
2805,"FOOD, HEALTH AND HAPPINESS",Oprah Winfrey,9781250126535,1250126533,1.0,,,https://www.amazon.com/Food-Health-Happiness-Point-Recipes/dp/1250126533?tag=NYTBS-20,,,2017-01-03
2806,FOOD: WHAT THE HECK SHOULD I COOK?,Mark Hyman,9780316453134,0316453137,5.0,,,https://www.amazon.com/Food-Recipes-Pegan-Gluten-free-Dairy-free-More-/dp/0316453137?tag=NYTBS-20,,,2019-10-22
2807,FOOL,Christopher Moore,9780748114498,0748114491,4.0,,"King Lear’s fool tries to set things right in this comic, bawdy version.",http://www.amazon.com/Fool-A-Novel-Christopher-Moore/dp/0060590327?tag=NYTBS-20,Morrow,,2010-02-04
2808,FOOL ME ONCE,Harlan Coben,9780525955092,0525955097,1.0,,A retired Army helicopter pilot faces combat-related nightmares and mysteries concerning the deaths of her husband and sister.,https://www.amazon.com/Fool-Me-Once-Harlan-Coben/dp/0525955097?tag=NYTBS-20,Dutton,,2016
2809,FOOL'S ASSASSIN,Robin Hobb,9780553392432,0553392433,13.0,,"In the first novel of a new fantasy trilogy, Fitz and the Fool, the hero of the Farseer trilogy is living under an assumed name.",http://www.amazon.com/Fools-Assassin-Book-Fitz-Trilogy/dp/0553392425?tag=NYTBS-20,Del Rey,,2014-08-12
2810,FOOL'S QUEST,Robin Hobb,9780553392937,055339293X,14.0,,"In the second volume of the “Fitz and the Fool” trilogy, Fitz draws on ancient magic to save his friend, the Fool.",http://www.amazon.com/Fools-Quest-Book-Fitz-trilogy/dp/0553392921?tag=NYTBS-20,Del Rey,,2015-08-11
2811,FOR COLORED GIRLS WHO HAVE CONSIDERED SUICIDE/WHEN THE RAINBOW IS ENUF,Ntozake Shange,9780684843261,0684843269,5.0,,"A ""choreopoem"" about race and gender, first published in 1975.",https://www.amazon.com/Colored-Girls-Considered-Suicide-Rainbow/dp/0684843269?tag=NYTBS-20,,,1997-09
2812,FOR MAGNUS CHASE: HOTEL VALHALLA GUIDE TO THE NORSE WORLDS,Rick Riordan,9781484785546,1484785541,5.0,,The hotel manager's commissioned guide to the beasts and deities guests might meet during their stay.,https://www.amazon.com/Magnus-Chase-Valhalla-Companion-Introduction/dp/1484785541?tag=NYTBS-20,,,2016-08-16
2813,FOR THE GOOD OF THE GAME,Bud Selig;Phil Rogers,9780062905956,0062905953,5.0,,,https://www.amazon.com/Good-Game-Surprising-Dramatic-Transformation/dp/0062905953?tag=NYTBS-20,,,2019-07-09
2814,FOR THE LOVE,Jen Hatmaker,9780718031824,0718031822,2.0,,An HGTV personality calls for women of all ages to find contentment in a world of impossible standards through the grace of God.,https://www.amazon.com/For-Love-Fighting-Impossible-Standards/dp/0718031822?tag=NYTBS-20,,,2015
2815,FOR WHAT IT'S WORTH,Les Gold,9781591846390,1591846390,4.0,,,https://www.amazon.com/For-What-Its-Worth-Pawnbroker/dp/1591846390?tag=NYTBS-20,,,2013
2816,FOR WHITE FOLKS WHO TEACH IN THE HOOD... AND THE REST OF Y'ALL TOO,Christopher Emdin,9780807006405,0807006408,5.0,,An experienced educator provides fresh practical tools to ignite and fully engage the eagerness of learning for students and also their teachers.,https://www.amazon.com/White-Folks-Teach-Hood-Rest/dp/0807006408?tag=NYTBS-20,,,2016-03-22
2817,FORBIDDEN,Ted Dekker,9781444724936,1444724932,17.0,,,http://www.amazon.com/Forbidden-The-Books-Mortals-Dekker-ebook/dp/B004YYZUCG?tag=NYTBS-20,Center Street,,2011-12-08
2818,FORCE OF NATURE,C J Box,9780399158261,039915826X,3.0,,"A commander from Nate Romanowski’s old black-ops military unit attacks Nate by going after his friend Joe Pickett, a Wyoming game warden, and his family.",https://www.amazon.com/Force-Nature-Joe-Pickett-Novel-ebook/dp/B005GSYZBQ?tag=NYTBS-20,Putnam,,2012
2819,FORD COUNTY,John Grisham,9780440246213,0440246210,3.0,,"Stories set in the same rural Mississippi locale as ""A Time to Kill.""",https://www.amazon.com/Ford-County-Stories-Random-House/dp/0739377388?tag=NYTBS-20,Doubleday,,2010-08-17
2820,FOREIGN AFFAIRS,Stuart Woods,9781101664254,1101664258,5.0,,"In the 35th Stone Barrington novel, the lawyer clashes with a New York Mafia don in Rome.",https://www.amazon.com/Foreign-Affairs-Stone-Barrington-Novel/dp/0399174672?tag=NYTBS-20,Putnam,,2015-10-13
2821,FOREIGN AGENT,Brad Thor,9781476789354,1476789355,2.0,,The counterterrorism operative Scot Harvath searches for an informant who compromised an American mission in Syria.,https://www.amazon.com/Foreign-Agent-Thriller-Scot-Harvath-ebook/dp/B0176M3X5S?tag=NYTBS-20,Emily Bestler/Atria,,2016-06-14
2822,FOREIGN BODY,Robin Cook,9780230738232,0230738230,9.0,,A medical student investigates a rising number of deaths among medical tourists at foreign hospitals.,http://www.amazon.com/Foreign-Body-Robin-Cook/dp/0425228959?tag=NYTBS-20,Putnam,,2009-03-06
2823,FOREIGN INFLUENCE,Brad Thor,9781416586609,1416586601,3.0,,The covert operative Scot Harvath joins a new spy agency and investigates a bombing in Rome that killed American students.,https://www.amazon.com/Foreign-Influence-Thriller-Brad-Thor/dp/1416586601?tag=NYTBS-20,Atria,,2011-05-24
2824,FOREVER EVIL,Geoff Johns;David Finch,9781401248918,1401248918,2.0,,"The Justice League is dead. Long live Crime Syndicate of America! These villainous versions of Superman, Batman, et al. have taken over, leaving Lex Luthor as the world’s last line of defense.",https://www.amazon.com/Forever-Evil-New-52/dp/1401248918?tag=NYTBS-20,,,2014
2825,FOREVER TOO FAR,Abbi Glines,9780988301337,0988301334,4.0,,"The final book in a trilogy, following ""Fallen Too Far"" and ""Never Too Far,"" brings a happy ending for Blaire and Rush.",https://www.amazon.com/gp/search?index=books&tag=NYTBS-20&field-keywords=FOREVER+TOO+FAR+Abbi+Glines,,,
2826,FORGET ME ALWAYS,Sara Wolf,9781633753280,163375328X,5.0,,,https://www.amazon.com/Forget-Always-Lovely-Vicious-Book-ebook/dp/B017HQ3F24?tag=NYTBS-20,,,2016-11-01
2827,FORGET TOMORROW,Pintip Dunn,9781633752405,1633752402,4.0,,,https://www.amazon.com/Forget-Tomorrow-Pintip-Dunn-ebook/dp/B00Z6375MC?tag=NYTBS-20,,,2015-11-03
2828,FORGIVENESS,Chiquis Rivera,9781501104831,1501104837,5.0,,The daughter of Jenni Rivera discusses her father's abuse and her estrangement from her mother.,https://www.amazon.com/Forgiveness-A-Memoir-Chiquis-Rivera/dp/1501104810?tag=NYTBS-20,,,2015-04-07
2829,FORKS OVER KNIVES,edited  Gene Stone,9781615190454,1615190457,5.0,,"A guide to adopting a whole-food, plant-based diet.",https://www.amazon.com/Forks-Over-Knives-Plant-Based-Health/dp/1615190457?tag=NYTBS-20,,,2011-06-28
2830,"FORTUNATELY, THE MILK",Neil Gaiman,9780062224071,0062224077,3.0,,A father goes out for milk and is abducted by aliens. ,https://www.amazon.com/Fortunately-Milk-Neil-Gaiman/dp/0062224077?tag=NYTBS-20,,,2013-09-17
2831,FOUNDATION,Mercedes Lackey,9780756405243,0756405246,20.0,,,http://www.amazon.com/Foundation-Collegium-Chronicles-Valdemar-Novel/dp/0756405246?tag=NYTBS-20,DAW,,2008
2832,FOUNDERS,James Wesley Rawles,9781439172834,1439172838,11.0,,"After society collapses, America’s fate is in the hands of the few who are qualified to return it to the state the founders intended.",http://www.amazon.com/Founders-A-Novel-Coming-Collapse/dp/143917282X?tag=NYTBS-20,Atria/Emily Bestler,,2013-07-30
2833,FOUNDING MOTHERS,Cokie Roberts,9780060780029,0060780029,3.0,,Paying tribute to the women of the American Revolution.,https://www.amazon.com/Founding-Mothers-Remembering-Cokie-Roberts/dp/0060780029?tag=NYTBS-20,,,2014-01-28
2834,FOUR BLOOD MOONS,John Hagee,9781617952142,1617952141,4.0,,,https://www.amazon.com/Four-Blood-Moons-Something-Change/dp/1617952141?tag=NYTBS-20,,,2013-10-08
2835,FOUR FRIENDS,Ron Carr,9780778316817,0778316815,5.0,,"A reserved newcomer to Mill Valley opens up to a group of women in her neighborhood — and, in the process, helps them discover their true selves.",https://www.amazon.com/Four-Friends-Robyn-Carr-ebook/dp/B00GPDYNAE?tag=NYTBS-20,,,
2836,FOUR WEEK FIANCÉ,JS Cooper,9781940218403,1940218403,5.0,,A sexy millionaire asks a friend's sister to participate in a fake engagement.,https://www.amazon.com/Four-Week-Fiancé-Helen-Cooper-ebook/dp/B00YAW67K6?tag=NYTBS-20,,,
2837,FOXCATCHER,Mark Schultz;David Thomas,9780698188709,0698188705,5.0,,Olympic wrestling gold medal-winning brothers Mark Schultz and Dave Schultz and what came to be a fatal relationship with John du Pont.,https://www.amazon.com/Foxcatcher-Brothers-Murder-Madness-Olympic-ebook/dp/B00KWG5SI6?tag=NYTBS-20,,,2014-11-18
2838,FRACTURED,Karin Slaughter,9781407008790,140700879X,15.0,,An Atlanta detective pursue’s a teenage girl’s killer.,http://www.amazon.com/Fractured-Karin-Slaughter/dp/0385341954?tag=NYTBS-20,Delacorte,,2008-09-09
2839,FRANCINE POULET MEETS THE GHOST RACCOON,Kate DiCamillo,9780763668860,0763668869,5.0,,Has Deckawoo Drive’s intrepid animal control officer met her match?,https://www.amazon.com/Francine-Poulet-Meets-Ghost-Raccoon/dp/0763668869?tag=NYTBS-20,,,2015
2840,FRANCONA,Terry Francona;Dan Shaughnessy,9780547928173,0547928173,2.0,,The manager’s Red Sox years.,https://www.amazon.com/Francona-The-Red-Sox-Years/dp/0547928173?tag=NYTBS-20,,,2013
2841,FRANK EINSTEIN AND THE ANTIMATTER MOTOR,Jon Scieszka,9781419712180,1419712187,4.0,,A boy tries to win a science prize to save his grandfather's fix-it shop.,https://www.amazon.com/Frank-Einstein-Antimatter-Motor-Scieszka/dp/1419712187?tag=NYTBS-20,,,2014-08-19
2842,FRANKENSTEIN: LOST SOULS,Dean Koontz,9780007353989,0007353987,7.0,,Book 4 in the reimagining of the classic tale.,http://www.amazon.com/Frankenstein-Lost-Souls-A-Novel-ebook/dp/B0036S4AE0?tag=NYTBS-20,Bantam,,2010-06-24
2843,FRANKENSTEIN: THE DEAD TOWN,Dean Koontz,9780553593686,0553593684,4.0,,Book 5 in the reimagining of the classic tale.,https://www.amazon.com/Frankenstein-The-Dead-Town-Novel-ebook/dp/B004J4WL0A?tag=NYTBS-20,,,2011-05-24
2844,FRANKLIN BARBECUE,Aaron Franklin;Jordan Mackay,9781607747208,1607747200,5.0,,A meat-smoking manifesto.,https://www.amazon.com/Franklin-Barbecue-A-Meat-Smoking-Manifesto/dp/1607747200?tag=NYTBS-20,,,2015-04-07
2845,FRANKLY IN LOVE,David Yoon,9781984812209,1984812203,2.0,,Frank fakes falling in love in order to fall in love for real.,https://www.amazon.com/Frankly-Love-David-Yoon/dp/1984812203?tag=NYTBS-20,,,2019-09-10
2846,FREAKONOMICS,Steven D Levitt;Stephen J Dubner,9780060731335,0060731338,3.0,,A scholar and a journalist apply economic theory to nearly everything.,https://www.amazon.com/Freakonomics-Revised-Expanded-Economist-Everything/dp/0061234001?tag=NYTBS-20,,,2009-08-25
2847,FREE WILL,Sam Harris,9781451683479,1451683472,4.0,,"Free will is an illusion, Harris says, and knowing that it is should change the way we think about life’s important questions.",https://www.amazon.com/Free-Will-Sam-Harris-ebook/dp/B006IDG2T6?tag=NYTBS-20,,,2012-03-06
2848,FREE+STYLE,Carl Paoli;Anthony Sherbondy,9781628600209,1628600209,4.0,,,https://www.amazon.com/Free-Style-Maximize-Performance-Movements/dp/1628600209?tag=NYTBS-20,,,2014-07-15
2849,FREEDOM,Jaycee Dugard,9781501147623,1501147625,4.0,,"In a follow-up to “A Stolen Life,” Dugard, who was kidnapped as a child and held for 18 years, describes her adjustment to a new life.",https://www.amazon.com/Freedom-Book-Firsts-Jaycee-Dugard-ebook/dp/B01CH4KBKU?tag=NYTBS-20,,,2016-07-12
2850,FREEDOM,Jonathan Franzen,9780374158460,0374158460,1.0,,A family of Midwestern liberals during the Bush years; by the author of “The Corrections.”,https://www.amazon.com/Freedom-Jonathan-Franzen/dp/0312600844?tag=NYTBS-20,"Farrar, Straus & Giroux",,
2851,FRICTION,Sandra Brown,9781455581160,145558116X,4.0,,A Texas Ranger fights for custody of his daughter amid complications stemming from his attraction to the judge.,https://www.amazon.com/Friction-Sandra-Brown-ebook/dp/B00US1STWW?tag=NYTBS-20,Grand Central,,
2852,FRIENDS FOREVER,Danielle Steel,9780385343213,0385343213,3.0,,Three boys and two girls who meet in kindergarten maintain their bonds as they grow to adulthood.,https://www.amazon.com/Friends-Forever-Novel-Danielle-Steel-ebook/dp/B0062OCNX0?tag=NYTBS-20,Delacorte,,2012
2853,FRIENDS — AND THEN SOME,Debbie Macomber,9781941824016,1941824013,3.0,,"The tender story of two people daring to be more than ""just friends""; first published in 1986.",https://www.amazon.com/Friends-And-Then-Debbie-Macomber-Classics-ebook/dp/B00H12A2GM?tag=NYTBS-20,,,2013-12-17
2854,FROG MUSIC,Emma Donoghue,9781447249757,1447249755,15.0,,"A murder mystery set in San Francisco in 1876, when the city is in the grip of a smallpox epidemic and a heat wave.",http://www.amazon.com/Frog-Music-Novel-Emma-Donoghue/dp/031632468X?tag=NYTBS-20,"Little, Brown",,2014-03-27
2855,FROG TROUBLE,Sandra Boynton,9780761171768,0761171762,2.0,,"A CD and songbook of country tunes for kids, sung by Alison Krauss, Dwight Yoakam and others.",https://www.amazon.com/Frog-Trouble-Eleven-Pretty-Serious/dp/0761171762?tag=NYTBS-20,,,2013-09-03
2856,FROM BAGHDAD TO AMERICA,Jay Kopelman,9781626366480,1626366489,5.0,,"The emotional demons of war and its aftermath are healed with the help of a puppy named Lava, adopted in Iraq by an American soldier.",https://www.amazon.com/From-Baghdad-America-Lessons-Named-ebook/dp/B004NIFL3G?tag=NYTBS-20,,,
2857,FROM DEAD TO WORSE,Charlaine Harris,9780575087163,0575087161,19.0,,"Following a deadly explosion at a vampire summit, the cocktail waitress Sookie Stackhouse faces danger.",http://www.amazon.com/From-Worse-Southern-Vampire-Mysteries/dp/0441015891?tag=NYTBS-20,Ace,,2009-07-30
2858,FROM MAMA'S TABLE TO MINE,Bob Deen,9780345536631,0345536630,1.0,,"Reduced fat Southern comfort food, including Charleston shrimp and grits, at 350 calories or less.",https://www.amazon.com/From-Mamas-Table-Mine-Everybodys/dp/0345536630?tag=NYTBS-20,,,2013-02-05
2859,FROM THE GROUND UP,Howard Schultz;Joanne Gordon,9780525509448,0525509445,4.0,,The former chief executive of Starbucks recounts his journey to success and shares the inspirational stories of others.,https://www.amazon.com/Ground-Up-Journey-Reimagine-Promise/dp/0525509445?tag=NYTBS-20,,,2019
2860,FROM THIS MOMENT ON,Shania Twain,9781451620740,1451620748,5.0,,The country singer and songwriter writes of her hardscrabble origins and her rise to fame.,https://www.amazon.com/From-This-Moment-Shania-Twain-ebook/dp/B004A90BOW?tag=NYTBS-20,,,
2861,FRONT DESK,Kelly Yang,9781338157826,1338157825,5.0,,,https://www.amazon.com/Front-Desk-Scholastic-Gold-Kelly/dp/1338157825?tag=NYTBS-20,,,2018
2862,FROST BURNED,Patricia Briggs,9780441020010,0441020011,1.0,,"The shape-shifter Mercy Thompson seeks assistance from an unlikely ally after the Alpha werewolf, Adam Hauptman, and the rest of his pack are abducted.",https://www.amazon.com/Frost-Burned-Thompson-Patricia-Briggs/dp/044102002X?tag=NYTBS-20,Ace,,
2863,FROSTBITTEN,Kelley Armstrong,9780553907049,0553907042,12.0,,The world’s only female werewolf and her mate track a rogue who’s hunting humans in the Alaskan forest.,http://www.amazon.com/Frostbitten-Otherworld-Kelley-Armstrong-ebook/dp/B002MUAFX8?tag=NYTBS-20,Bantam,,2009-09-29
2864,FROZEN,RH Disney,9780736431187,0736431187,4.0,,"A loose adaptation of ""The Snow Queen""; now a 3-D movie.",https://www.amazon.com/Frozen-Junior-Novelization-Disney/dp/0736431187?tag=NYTBS-20,,,
2865,FROZEN HEAT,Richard Castle,9781781166345,178116634X,8.0,,The N.Y.P.D. homicide detective Nikki Heat investigates the case of a woman whose body is found in a freezer.,http://www.amazon.com/Frozen-Heat-Nikki-Richard-Castle/dp/0786891432?tag=NYTBS-20,Hyperion,,2012-11-16
2866,FROZEN IN TIME,Mitchell Zuckoff,9780062133410,0062133411,4.0,,"An account both of airmen’s fight for survival in the Arctic after a 1942 crash, and of a 2012 expedition to Greenland to find the remains of a plane that crashed in a rescue attempt.",https://www.amazon.com/Frozen-Time-Survival-Modern-Heroes/dp/0062133438?tag=NYTBS-20,,,2013-04-23
2867,FULL BLACK,Brad Thor,9781416586616,141658661X,3.0,,The covert counterterrorism operative Scot Harvath has a plan to stop a terrorist group that wants to take down the United States.,https://www.amazon.com/Full-Black-Thriller-Brad-Thor/dp/1451675240?tag=NYTBS-20,Atria,,2011-07-26
2868,FULL COUNT,David Cone;Jack Curry,9781538748848,1538748843,3.0,,,https://www.amazon.com/Full-Count-Education-David-Cone/dp/1538748843?tag=NYTBS-20,,,2019-05-14
2869,"FULL DARK, NO STARS",Stephen King,9781439192566,1439192561,2.0,,"Four long stories, light on the supernatural and dealing mostly with grisly human behavior.",https://www.amazon.com/Full-Dark-Stars-Stephen-King/dp/1451650604?tag=NYTBS-20,Scribner,,2010-11-09
2870,FULL PACKAGE,Lauren Blakely,9781536855081,1536855081,3.0,,A man shares a cramped apartment with his friend's fetching sister.,https://www.amazon.com/Full-Package-Lauren-Blakely-ebook/dp/B01MT5HMRV?tag=NYTBS-20,,,
2871,FULL WOLF MOON,Lincoln Child,9780385531436,0385531435,10.0,,Could hikers in the Adirondacks have been killed by werewolfs?,https://www.amazon.com/Full-Wolf-Moon-Novel-Jeremy-ebook/dp/B01LYMHM2Z?tag=NYTBS-20,Doubleday,,2017-05-16
2872,"FULLMETAL ALCHEMIST (3-IN-1 EDITION), VOL. 2",Hiromu Arakawa,9781421540191,1421540193,4.0,,"Two brothers harmed in a ritual that was half magic/half science seek the legendary Philosopher’s Stone to make things right. This edition collects volumes four, five and six of the regular series.",https://www.amazon.com/Fullmetal-Alchemist-3-1-Edition/dp/1421540193?tag=NYTBS-20,,,2011-08-02
2873,"FULLMETAL ALCHEMIST, VOL. 22",Hiromu Arakawa,9781421534138,1421534134,4.0,,Two brothers harmed in a ritual that was half magic/half science seek the legendary Philosopher’s Stone to make things right. But others seek the weapon of alchemy for their own nefarious means.,https://www.amazon.com/Fullmetal-Alchemist-Vol-Hiromu-Arakawa/dp/1421534134?tag=NYTBS-20,,,2010-01-19
2874,"FULLMETAL ALCHEMIST, VOL. 23",Hiromu Arakawa,9781421536309,1421536307,1.0,,Two brothers harmed in a ritual that was half magic/half science seek the legendary Philosopher’s Stone to make things right.,https://www.amazon.com/Fullmetal-Alchemist-Vol-Hiromu-Arakawa/dp/1421536307?tag=NYTBS-20,,,2010-07-20
2875,"FULLMETAL ALCHEMIST, VOL. 24",Hiromu Arakawa,9781421538129,1421538121,1.0,,Two brothers harmed in a ritual that was half magic/half science seek the legendary Philosopher’s Stone to make things right. This installment sees an uprising in Central City and the return of King Bradley.,https://www.amazon.com/Fullmetal-Alchemist-Vol-Hiromu-Arakawa/dp/1421538121?tag=NYTBS-20,,,2011-01-18
2876,"FULLMETAL ALCHEMIST, VOL. 25",Hiromu Arakawa,9781421539249,1421539241,4.0,,Two brothers harmed in a ritual that was half magic/half science seek the legendary Philosopher’s Stone to make things right.,https://www.amazon.com/Fullmetal-Alchemist-Vol-Hiromu-Arakawa/dp/1421539241?tag=NYTBS-20,,,2011-06-07
2877,"FULLMETAL ALCHEMIST, VOL. 26",Hiromu Arakawa,9781421539621,1421539624,4.0,,Two brothers harmed in a ritual that was half magic/half science seek the legendary Philosopher’s Stone to make things right.,https://www.amazon.com/Fullmetal-Alchemist-Vol-Hiromu-Arakawa/dp/1421539624?tag=NYTBS-20,,,2011-09-20
2878,"FULLMETAL ALCHEMIST, VOL. 27",Hiromu Arakawa,9781421539843,1421539845,1.0,,Two brothers harmed in a ritual that was half magic/half science seek the legendary Philosopher’s Stone to make things right.,https://www.amazon.com/Fullmetal-Alchemist-Vol-Hiromu-Arakawa/dp/1421539845?tag=NYTBS-20,,,
2879,FULLY ALIVE,Timothy P Shriver,9780374280918,0374280916,2.0,,The head of the Special Olympics shares insights gained through experiences with and advocating for athletes with special needs.,https://www.amazon.com/Fully-Alive-Discovering-What-Matters/dp/0374280916?tag=NYTBS-20,,,2014-11-11
2880,FUN HOME,Alison Bechdel,9780618871711,0618871713,2.0,,"In her first memoir, the author chronicles the life and death of her father, a closeted gay man and funeral director.",https://www.amazon.com/Fun-Home-A-Family-Tragicomic/dp/0618871713?tag=NYTBS-20,,,2007
2881,FUNNY GIRL,Nick Horn,9781410478184,1410478181,9.0,,A beauty queen who idolizes Lucille Ball moves to London and becomes the star of a hit BBC program in this novel about television in the 1960s.,http://www.amazon.com/Funny-Girl-Novel-Nick-Hornby/dp/1594205418?tag=NYTBS-20,Riverhead,,2015-04-01
2882,FURIOUSLY HAPPY,Jenny Lawson,9781250077004,1250077001,2.0,,A humorous treatment of the author's life with depression and anxiety disorder.,https://www.amazon.com/Furiously-Happy-Funny-Horrible-Things/dp/1250077001?tag=NYTBS-20,,,2015-09-22
2883,FURYBORN,Claire Legrand,9781492656623,1492656623,4.0,,"Two girls separated by a millennium, are connected by a prophecy.",https://www.amazon.com/Furyborn-Empirium-Trilogy-Claire-Legrand/dp/1492656623?tag=NYTBS-20,,,2018
2884,FUTURE,Al Gore,9780812992946,0812992946,4.0,,The six drivers of global change that are reshaping our world. ,https://www.amazon.com/The-Future-Drivers-Global-Change-ebook/dp/B009MYD9EE?tag=NYTBS-20,,,2013
2885,FUTURE CRIMES,Marc Goodman,9780385539005,0385539002,3.0,,"The world of cybercrime and corporate spying, and advice on protecting yourself.",https://www.amazon.com/Future-Crimes-Everything-Connected-Vulnerable-ebook/dp/B00N6PCZMC?tag=NYTBS-20,,,2015
2886,FUTURE HOME OF THE LIVING GOD,Louise Erdrich,9781472153333,1472153332,13.0,,"As giving birth becomes a matter of state security, a pregnant woman travels to find her Ojibwe family.",https://www.amazon.com/Future-Home-Living-God-Novel/dp/0062694057?tag=NYTBS-20,Harper,,2017-11-14
2887,FUTURE SHOCK,Elizabeth Briggs,9781504031783,1504031784,3.0,,,https://www.amazon.com/Future-Shock-Elizabeth-Briggs-ebook/dp/B01BUPOSM4?tag=NYTBS-20,,,
2888,"FUTURES END, VOL. 2",Jeff Lemire;others,9781401256029,1401256023,2.0,,"In this possible future, Brother Eye has an army of mind–controlled slaves and only Batman Beyond and Green Arrow can rally the remaining heroes to save the planet.",https://www.amazon.com/The-New-52-Futures-Vol/dp/1401256023?tag=NYTBS-20,,,2015-07-21
2889,Factfulness: Ten Reasons We're Wrong About the World - and Why Things Are Better Than You Think,Hans Rosling (Author);Richard Harries (Narrator);Anna Rosling Rönnlund (Author);Ola Rosling (Author);Recorded Books (Publisher);2 more,,,2.0,4.6,,,,"[""Books"",""Science & Math"",""Mathematics"",""Applied"",""Probability & Statistics""]",
2890,Factfulness: Ten Reasons We're Wrong About the World--and Why Things Are Better Than You Think,Hans RoslingAnna Rosling RönnlundOla Rosling,9781250107817,1250107814,7.0,4.6,A look at our biases and the argument for why the world is in a better state than we might think.,https://www.amazon.com/Factfulness-Reasons-World-Things-Better-ebook/dp/B0756J1LLV?tag=NYTBS-20,,"[""Books"",""Science & Math"",""Mathematics""]",2018-04-03
2891,Fahrenheit 451,Ray Bradbury,9781438113845,1438113846,4.0,4.6,,,,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]",2008
2892,Fahrenheit 451,Ray Bradbury (Author);Tim Robbins (Narrator);Audible Studios (Publisher);0 more,,,1.0,4.6,,,,"[""Books"",""Literature & Fiction"",""Genre Fiction"",""TV, Movie, Video Game Adaptations""]",
2893,Fahrenheit 451: A Novel,Ray Bradbury,9781439142677,143914267X,17.0,4.6,,,,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]",2011-11-29
2894,Fair Warning (Jack McEvoy Book 3),Michael Connelly,9780316539432,0316539430,14.0,4.5,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",2020-05-26
2895,"Fair Warning (Jack McEvoy, 3)",Michael Connelly,9780316539432,0316539430,52.0,4.5,,,,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",2020-05-26
